display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
1,3,Software,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,20.9846153846
1,3,Software,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1,1,16.8
1,3,Software,,,00,000,34620,Muncie MSA,2023,000000,,1,1,29.9076923077
1,3,Software,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,1,1,28.0
1,3,Software,,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,24.0615384615
1,3,Software,,,18,000,00000,Indiana,2023,000000,,1,1,47.6923076923
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,0,000,00000,United States,2023,000000,,1,1,37.80000000000417
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,14020,Bloomington MSA,2023,000000,,1,1,43.69706730768
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,1,1,35.19230769230417
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,17140,Cincinnati MSA,2023,000000,,1,1,31.936036789321744
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,18020,Columbus MSA,2023,000000,,1,1,45.1076923077
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,1,1,26.123942307689997
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,21780,Evansville MSA,2023,000000,,1,1,45.46762820511333
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,23060,Fort Wayne MSA,2023,000000,,1,1,32.594230769238095
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,1,1,33.5589743589625
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,29020,Kokomo MSA,2023,000000,,1,1,21.929052197814286
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,1,1,42.61072485208461
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,30.896940559431815
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1,1,27.795192307687497
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,34620,Muncie MSA,2023,000000,,1,1,47.914743589800004
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,1,1,30.93351648350714
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,43.4117788462
1,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,18,000,00000,Indiana,2023,000000,,1,1,29.57692307692084
2,1,IT/Tech Services,,,0,000,00000,United States,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,32.6769230769
2,1,IT/Tech Services,,,0,000,00000,United States,2023,541511,Custom Computer Programming Services ,2,2,38.615384615400004
2,1,IT/Tech Services,,,0,000,00000,United States,2023,541512,Computer Systems Design Services ,2,2,48.7076923077
2,1,IT/Tech Services,,,0,000,00000,United States,2023,541513,Computer Facilities Management Services ,2,2,37.3538461538
2,1,IT/Tech Services,,,0,000,00000,United States,2023,541519,Other Computer Related Services,2,2,39.6
2,1,IT/Tech Services,,,0,000,00000,United States,2023,611420,Computer Training ,2,2,24.0615384615
2,1,IT/Tech Services,,,0,000,00000,United States,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,23.1076923077
2,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,27.0
2,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,541511,Custom Computer Programming Services ,2,2,22.9538461538
2,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,541512,Computer Systems Design Services ,2,2,27.0153846154
2,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,541513,Computer Facilities Management Services ,2,2,29.4153846154
2,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,541519,Other Computer Related Services,2,2,38.5846153846
2,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,611420,Computer Training ,2,2,30.7692307692
2,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,19.0153846154
2,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,31.2
2,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,541511,Custom Computer Programming Services ,2,2,38.3384615385
2,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,541512,Computer Systems Design Services ,2,2,50.6461538462
2,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,541513,Computer Facilities Management Services ,2,2,33.6615384615
2,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,541519,Other Computer Related Services,2,2,42.0307692308
2,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,611420,Computer Training ,2,2,21.9692307692
2,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,22.8307692308
2,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,32.4307692308
2,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,541511,Custom Computer Programming Services ,2,2,32.4307692308
2,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,541512,Computer Systems Design Services ,2,2,52.615384615400004
2,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,541513,Computer Facilities Management Services ,2,2,29.9692307692
2,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,541519,Other Computer Related Services,2,2,28.9846153846
2,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,611420,Computer Training ,2,2,19.0153846154
2,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,22.0923076923
2,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,19.9384615385
2,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,541511,Custom Computer Programming Services ,2,2,41.0461538462
2,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,541512,Computer Systems Design Services ,2,2,31.2
2,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,541513,Computer Facilities Management Services ,2,2,17.0
2,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,541519,Other Computer Related Services,2,2,32.6769230769
2,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,611420,Computer Training ,2,2,83.9384615385
2,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,13.9076923077
2,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,
2,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,541511,Custom Computer Programming Services ,2,2,23.8153846154
2,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,541512,Computer Systems Design Services ,2,2,28.0
2,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,541513,Computer Facilities Management Services ,2,2,29.3269230769
2,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,541519,Other Computer Related Services,2,2,21.4769230769
2,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,611420,Computer Training ,2,2,18.9927884615
2,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,12.6153846154
2,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,26.9538461538
2,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,541511,Custom Computer Programming Services ,2,2,31.9384615385
2,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,541512,Computer Systems Design Services ,2,2,42.0307692308
2,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,541513,Computer Facilities Management Services ,2,2,19.2615384615
2,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,541519,Other Computer Related Services,2,2,29.9692307692
2,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,611420,Computer Training ,2,2,31.6307692308
2,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,18.5230769231
2,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,27.5692307692
2,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,541511,Custom Computer Programming Services ,2,2,25.0461538462
2,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,541512,Computer Systems Design Services ,2,2,28.8615384615
2,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,541513,Computer Facilities Management Services ,2,2,28.8
2,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,541519,Other Computer Related Services,2,2,29.9692307692
2,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,611420,Computer Training ,2,2,19.0153846154
2,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,20.6153846154
2,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,28.8615384615
2,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,541511,Custom Computer Programming Services ,2,2,27.5076923077
2,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,541512,Computer Systems Design Services ,2,2,44.7384615385
2,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,541513,Computer Facilities Management Services ,2,2,37.6
2,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,541519,Other Computer Related Services,2,2,28.8615384615
2,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,611420,Computer Training ,2,2,26.8923076923
2,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,20.9846153846
2,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,12.0
2,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,541511,Custom Computer Programming Services ,2,2,21.9692307692
2,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,541512,Computer Systems Design Services ,2,2,28.9846153846
2,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,541513,Computer Facilities Management Services ,2,2,
2,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,541519,Other Computer Related Services,2,2,20.1846153846
2,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,611420,Computer Training ,2,2,19.8899038462
2,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,17.0461538462
2,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,34.8557692308
2,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,541511,Custom Computer Programming Services ,2,2,21.9692307692
2,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,541512,Computer Systems Design Services ,2,2,27.6307692308
2,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,541513,Computer Facilities Management Services ,2,2,38.0
2,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,541519,Other Computer Related Services,2,2,43.0153846154
2,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,611420,Computer Training ,2,2,24.0
2,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,20.0
2,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,29.4769230769
2,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,541511,Custom Computer Programming Services ,2,2,31.2
2,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,541512,Computer Systems Design Services ,2,2,26.8923076923
