year,statefips,metrofips,geo_area,cicp_initiative,jobs14to18,jobs19to21,jobs22to24,jobs25to34,jobs35to44,jobs45to54,jobs55to64,jobs65plus
2021,00,33140,Michigan City-La Porte MSA,AgriNovus,167.61295233409197,405.281567645864,520.0424344866001,1887.0219648576917,1907.4284577380035,1834.5764365370965,1593.7188968781084,506.31731209004005
2021,00,23060,Fort Wayne MSA,AgriNovus,513.1823347963242,915.8718964902998,1008.0868476629082,4076.801567222449,4415.180302329468,3828.406808595372,3483.8653565870436,1233.2977085649118
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,2425.644084841335,4252.128811419363,5669.57818640482,23783.995328207853,24725.4553919125,21605.216525909116,16636.780961108372,6149.455826157706
2023,00,23060,Fort Wayne MSA,AgriNovus,799.110589562344,1066.7944541517938,1091.768709780716,4305.073023669455,4398.238668524177,3836.539583928033,3380.8370713048353,1470.2022485401003
2020,00,14020,Bloomington MSA,AgriNovus,81.5933948703784,212.79247992202394,455.14156586874003,1362.7414437730188,1068.147620055048,880.4489435881144,676.6765948575319,257.85315841269596
2021,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,9875.747694256856,14076.467181369206,18925.48421772197,93434.51537017476,101129.31330067551,100274.40627921461,87931.05603397737,31357.49968781644
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,2273.4405915365933,4128.611885444099,5673.663902061419,23511.545066992756,23958.216779759718,21329.452088925693,16527.89388628909,5914.182246334736
2019,00,14020,Bloomington MSA,AgriNovus,85.88245766498,221.83978700818798,400.009632440656,1462.4781668938558,955.3648164541759,860.3244862807768,713.0692096802319,247.51468862577204
2020,00,21140,Elkhart-Goshen MSA,AgriNovus,346.7207383296808,375.7326760286968,486.7881849561808,1902.1013181331036,2101.0858026451237,1894.9447685421924,1827.001524149524,580.5759682634
2023,18,00000,Indiana,AgriNovus,11193.22694274526,17670.49635524146,22216.805733555393,90485.4932454952,94226.68429472452,83488.76892976428,69446.56061132404,28664.59258083566
2021,00,18020,Columbus MSA,AgriNovus,63.201569926692,82.4949805608536,161.449787667976,763.5346222695277,797.1483879780722,494.47951526293997,531.6005183263758,230.30421948478806
2022,00,18020,Columbus MSA,AgriNovus,61.835745452108014,83.08605310012001,168.08818355149597,705.0852137424279,843.794676036412,533.683202163572,540.6099142518601,274.32850951869517
2021,00,43780,South Bend-Mishawaka MSA,AgriNovus,411.88661869409196,469.348122574136,445.22511727800565,1902.2401819827683,1982.7390470517566,1677.5699188461042,1741.0627620197806,622.1823602645624
2020,00,43780,South Bend-Mishawaka MSA,AgriNovus,332.47843130480004,468.263579202672,528.8587393070377,1917.6686123489733,1994.8726716715296,1769.245377916173,1792.866096339082,592.321525290684
2023,00,17140,Cincinnati MSA,AgriNovus,2763.004750547573,4946.730605892694,6325.045394597406,28807.07976229704,30969.74193631991,26014.252479776656,22306.869422525877,6927.139593794056
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,1643.634483478507,3221.4682979332033,4882.218560320263,21340.213879312,21980.246783988692,19641.007726195152,16000.971979600303,4727.608943575752
2021,00,29200,Lafayette-West Lafayette MSA,AgriNovus,287.01736787011623,961.119611841552,1016.4270147676882,4660.6357464185385,4133.6203215262285,4079.233261136736,3552.730523160699,1155.8834870299333
2019,00,23060,Fort Wayne MSA,AgriNovus,333.2020795584681,735.8388788311163,1111.1883541410043,4344.786537130873,4464.028527731022,4122.520486155984,3901.0660730294794,1126.9603038454322
2023,00,14020,Bloomington MSA,AgriNovus,74.82309298444088,194.50852202754962,426.3270030954215,1277.0436764564602,1154.494606783392,942.1948945059961,681.6303370295202,270.59635335433364
2020,00,29200,Lafayette-West Lafayette MSA,AgriNovus,387.524304728748,920.2146447516641,1079.5895202942759,4756.441763405601,4681.706161580981,4396.408242215366,3786.3890739979006,1061.6952230631562
2022,18,00000,Indiana,AgriNovus,10825.64448710978,17128.978983681074,21675.022208506616,89798.72977796102,91366.7179533612,80568.06427574443,69290.92602066246,26865.123588645973
2019,18,00000,Indiana,AgriNovus,8645.913695026278,15451.662093921568,20982.406064501567,85836.13197016735,83904.47376430575,79225.90451255537,70775.88556305724,22256.94857410717
2020,00,18020,Columbus MSA,AgriNovus,117.740440669224,129.6398692173104,199.67581315685283,866.7214202270118,848.5091177151038,548.860218947052,550.81551157104,228.62569480576238
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,2028.86223735471,3570.9611987210833,5025.314925598581,21781.793160557263,22591.979481050214,20228.824634168766,16251.376356320352,5232.963256138384
2021,0,00000,United States,AgriNovus,370103.3122735122,706629.044020868,946190.3432915185,4218399.390784344,4364454.168247931,4103829.3120497935,3640250.431223949,1501498.0964635843
2022,00,14020,Bloomington MSA,AgriNovus,78.75109081713839,227.2817559666696,464.45822037015915,1337.3956464281603,1164.4566845254706,983.6223194770092,719.298017746283,241.1514883123134
