year,statefips,metrofips,geo_area,cicp_initiative,females,males
2019,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,249455.05001904938,565284.3998026267
2020,00,18020,Columbus MSA,Conexus,24044.056859802564,59367.93909412998
2020,00,23060,Fort Wayne MSA,TechPoint,5851.985069320262,11756.456027383923
2021,00,14020,Bloomington MSA,TechPoint,1238.467858056489,2521.1976183347397
2019,0,00000,United States,TechPoint,5654788.485363871,10904180.23576716
2021,00,45460,Terre Haute MSA,Advanced and Traded Industries,13822.485364714428,31927.251582111767
2021,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,12744.478020516826,24353.66169994331
2019,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,75172.32503258045,167363.45481669984
2023,00,29020,Kokomo MSA,AgriNovus,814.8919316231801,2122.6956312052125
2021,00,14020,Bloomington MSA,AgriNovus,1629.4135293773195,3369.0979002527865
2020,00,43780,South Bend-Mishawaka MSA,AgriNovus,2933.2584276243874,6463.316605754484
2020,00,29200,Lafayette-West Lafayette MSA,AgriNovus,5736.972065937851,15332.996868092645
2019,00,33140,Michigan City-La Porte MSA,AgriNovus,2366.352862765851,4759.50914140758
2019,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,36458.584091434066,41019.924231743236
2023,00,21140,Elkhart-Goshen MSA,BioCrossroads,684.5040241514301,719.0705585125085
2020,00,29020,Kokomo MSA,BioCrossroads,179.87193188667007,141.67661138711344
2020,00,17140,Cincinnati MSA,TechPoint,26267.696423842648,56996.06734709128
2023,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,78296.00078066988,165767.61496933698
2022,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,28037.538353653923,64728.953918235995
2022,00,45460,Terre Haute MSA,AgriNovus,1746.670045560744,6585.408188120168
2021,00,45460,Terre Haute MSA,AgriNovus,1762.3576869409758,6174.898585991879
2022,18,00000,Indiana,AgriNovus,129117.84005709851,278401.367238576
2023,00,21780,Evansville MSA,BioCrossroads,1949.2067390270797,3761.2146754513124
2021,00,29020,Kokomo MSA,BioCrossroads,167.22286773930156,157.26342357733483
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,37049.43588885217,41801.74802892713
2020,00,31140,Louisville/Jefferson County MSA,BioCrossroads,9405.96701728287,9388.989935504611
2022,00,29020,Kokomo MSA,Conexus,10884.197710674895,32004.31298561671
2020,00,43780,South Bend-Mishawaka MSA,Conexus,28705.396052413675,71201.47161267462
2021,00,43780,South Bend-Mishawaka MSA,Conexus,28979.780833359524,71686.9040156389
2019,00,18020,Columbus MSA,TechPoint,778.495587980841,2104.304090159945
2021,00,33140,Michigan City-La Porte MSA,TechPoint,321.26857386703796,440.58923273254203
2021,00,34620,Muncie MSA,Advanced and Traded Industries,9509.773206817921,18105.959850614592
2023,00,23060,Fort Wayne MSA,Advanced and Traded Industries,80458.07517404316,149752.27664039758
2020,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,41651.49871247467,66522.90874818354
2022,18,00000,Indiana,Advanced and Traded Industries,1184189.3069206858,2136758.398455047
2019,18,00000,Indiana,Advanced and Traded Industries,1100503.7844901453,2052568.2112025556
2020,18,00000,Indiana,Advanced and Traded Industries,1072506.7363913832,1974502.62065789
2023,00,29200,Lafayette-West Lafayette MSA,AgriNovus,7276.66627747612,14266.728056453789
2023,0,00000,United States,AgriNovus,7041722.025348838,13954534.707471076
2022,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,178681.6187282199,296070.73558034963
2019,00,21140,Elkhart-Goshen MSA,AgriNovus,3632.1856679758494,6478.661677343681
2023,00,17140,Cincinnati MSA,AgriNovus,41794.42884110431,87265.43510464842
2023,00,31140,Louisville/Jefferson County MSA,BioCrossroads,9503.494710465748,9619.989015795583
2023,00,29020,Kokomo MSA,Conexus,11091.383722068538,32659.642119610362
2021,00,29020,Kokomo MSA,Conexus,11434.927323493303,33989.78062906316
2019,00,34620,Muncie MSA,Conexus,5238.662074112031,20168.16484022767
2022,00,34620,Muncie MSA,Conexus,4905.276382152232,18820.728312332136
2020,00,29020,Kokomo MSA,Conexus,12511.030152398309,37163.244193456885
2019,00,29200,Lafayette-West Lafayette MSA,TechPoint,1266.87606704796,2394.113290922569
2021,00,17140,Cincinnati MSA,Advanced and Traded Industries,416670.2325814704,678798.5039619175
2023,00,34620,Muncie MSA,Advanced and Traded Industries,9648.812574910295,18793.244503179132
2019,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,1609871.4704869804,2561884.6168522355
2022,00,18020,Columbus MSA,AgriNovus,1080.4738018686842,2130.0376959457517
2021,00,18020,Columbus MSA,AgriNovus,1033.0094057944282,2091.204195685308
2020,00,14020,Bloomington MSA,BioCrossroads,11336.368653246333,10377.17867403445
2019,00,14020,Bloomington MSA,BioCrossroads,11427.292450189918,10094.253144971122
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,43783.602860956446,48281.78402370381
2021,00,16980,Chicago-Naperville-Elgin MSA,Conexus,1017864.4546075417,2149544.9416123196
2023,00,31140,Louisville/Jefferson County MSA,Conexus,219569.19810862662,498033.47745992016
2021,00,21780,Evansville MSA,Conexus,30638.425587252103,83372.07194199399
2019,00,33140,Michigan City-La Porte MSA,TechPoint,368.81395228098006,481.90151219029804
2019,00,34620,Muncie MSA,TechPoint,1555.83276132216,1867.7187297651299
2019,00,21780,Evansville MSA,TechPoint,1994.694920979252,4361.460592285131
2021,00,14020,Bloomington MSA,Advanced and Traded Industries,23728.03382155814,28558.40968419344
2020,00,18020,Columbus MSA,Advanced and Traded Industries,22825.10963541992,49667.78932703296
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,33941.96049448439,71306.29462143035
2021,18,00000,Indiana,AgriNovus,119716.77287661309,269456.2134808438
2022,00,17140,Cincinnati MSA,BioCrossroads,22215.72348459984,22273.30986235675
2023,00,29020,Kokomo MSA,BioCrossroads,206.02941903827391,157.39649743226798
2020,0,00000,United States,BioCrossroads,2989111.4591290797,3723617.0764131774
2020,00,45460,Terre Haute MSA,TechPoint,522.8659423925101,1198.081233651615
2023,00,21780,Evansville MSA,TechPoint,2012.1202756392956,4217.616200612928
2023,00,23060,Fort Wayne MSA,TechPoint,6348.586323525254,11325.735853558293
2020,00,31140,Louisville/Jefferson County MSA,TechPoint,19401.416762878394,34540.25288439521
2023,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,161888.09541972174,277390.9561019778
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,424695.8198934978,641515.3663231444
2021,00,18020,Columbus MSA,Advanced and Traded Industries,22366.876507031542,49431.717839976496
2020,00,23060,Fort Wayne MSA,AgriNovus,5613.333760890338,13887.392560894328
2020,00,29020,Kokomo MSA,AgriNovus,780.450357171024,1915.599842044001
2019,00,21780,Evansville MSA,AgriNovus,5601.970454896719,13651.912255196374
2023,00,45460,Terre Haute MSA,BioCrossroads,1118.8073100092263,1238.5743541197164
2020,00,16980,Chicago-Naperville-Elgin MSA,Conexus,995581.2123720447,2133233.7211862444
2021,00,45460,Terre Haute MSA,Conexus,10986.878627019663,38694.53011980893
2021,0,00000,United States,Conexus,27830730.53728646,65308406.47165256
2022,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,166548.97007705612,286795.4997457839
2023,00,17140,Cincinnati MSA,TechPoint,27460.733233741325,56126.354998244344
2021,0,00000,United States,TechPoint,5914366.30536897,11100574.315786198
2023,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,39405.964211213046,67483.58449829121
2022,00,23060,Fort Wayne MSA,AgriNovus,6401.652855006095,13651.322367516781
2019,00,29200,Lafayette-West Lafayette MSA,AgriNovus,5526.681657381216,13989.923689867463
2020,00,21780,Evansville MSA,AgriNovus,5528.931681905484,13713.39337247805
2020,00,14020,Bloomington MSA,AgriNovus,1652.80602611948,3342.5891752277967
2021,00,29200,Lafayette-West Lafayette MSA,AgriNovus,5573.610964126024,14273.056369623402
2020,00,34620,Muncie MSA,AgriNovus,420.0654640734184,1254.172012942471
2022,00,45460,Terre Haute MSA,BioCrossroads,1028.0816151723725,1147.0144838319916
2021,00,33140,Michigan City-La Porte MSA,Conexus,13158.493373339552,30499.07730800276
2023,00,17140,Cincinnati MSA,Conexus,270800.47600394004,645598.9892517494
2021,00,31140,Louisville/Jefferson County MSA,Conexus,204252.93727395512,475533.2080514982
2021,00,34620,Muncie MSA,TechPoint,1620.3067850455172,1871.9862256185809
2021,00,21140,Elkhart-Goshen MSA,TechPoint,1543.6743673074898,1770.2826821203646
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,34437.361794838376,65743.91790024762
2020,0,00000,United States,TechPoint,5689706.209268429,10876902.098495703
2019,00,17140,Cincinnati MSA,Advanced and Traded Industries,406247.8031532728,675568.4805896691
2023,0,00000,United States,Advanced and Traded Industries,50138966.37965075,79179080.49469124
2020,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,24582.432011366895,60464.1979592574
2020,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,12416.50921411166,23841.881023618687
2019,0,00000,United States,Advanced and Traded Industries,45744800.8900288,74869136.85851766
2021,00,34620,Muncie MSA,AgriNovus,467.192505453124,1451.3002439142665
2022,00,17140,Cincinnati MSA,AgriNovus,38876.59202442981,81466.6136298494
2022,00,21780,Evansville MSA,BioCrossroads,1682.0918034374913,3438.130701726024
2019,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2519.8768781558265,5180.049582272857
2020,00,18020,Columbus MSA,BioCrossroads,352.75765914822534,822.5604214945678
2022,00,21140,Elkhart-Goshen MSA,BioCrossroads,563.8332780031519,609.6760916527121
2019,0,00000,United States,BioCrossroads,2922528.7069667606,3647483.3968294444
2022,0,00000,United States,Conexus,29625859.26422409,67972270.71063684
2023,00,45460,Terre Haute MSA,Conexus,12682.801366115871,41714.66835407141
2019,00,43780,South Bend-Mishawaka MSA,Conexus,30376.82324522887,76356.27787509553
2019,0,00000,United States,Conexus,27187952.029352654,65880433.644380376
2019,18,00000,Indiana,TechPoint,71471.88113983964,131152.13412452786
2020,00,18020,Columbus MSA,TechPoint,811.6272806414729,2131.7426609448385
2021,18,00000,Indiana,TechPoint,73307.36576170348,135494.7725207001
2022,0,00000,United States,Advanced and Traded Industries,49523277.92944037,78524052.03457834
2020,00,21780,Evansville MSA,Advanced and Traded Industries,39245.47073221271,75707.92725404394
2023,00,29020,Kokomo MSA,Advanced and Traded Industries,11036.123384798137,26026.892457638754
2020,00,17140,Cincinnati MSA,AgriNovus,35396.28916834526,76112.0212505958
2019,00,17140,Cincinnati MSA,AgriNovus,36817.97460144374,81744.9900628976
2022,00,33140,Michigan City-La Porte MSA,AgriNovus,3388.7755888384,6238.5071938395795
2019,00,23060,Fort Wayne MSA,BioCrossroads,1853.4089615721125,3637.9794732427063
2019,00,45460,Terre Haute MSA,BioCrossroads,943.1283835868086,1543.24098176113
2019,00,34620,Muncie MSA,BioCrossroads,81.25759961528357,89.67499796215525
2019,00,33140,Michigan City-La Porte MSA,BioCrossroads,402.01507271794526,353.36195404413144
2023,00,45460,Terre Haute MSA,Advanced and Traded Industries,14875.125063413218,34214.0463900543
2019,00,18020,Columbus MSA,AgriNovus,1156.541454982124,2427.398815705016
2020,18,00000,Indiana,AgriNovus,117711.81983175356,265282.5122910027
2023,00,33140,Michigan City-La Porte MSA,Conexus,14772.508072539726,32905.49142591014
2023,00,14020,Bloomington MSA,Conexus,24355.006628026604,32199.021893018897
2023,00,21140,Elkhart-Goshen MSA,TechPoint,1602.0079669825977,2072.938115765526
2020,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,158718.87434293109,296246.169243933
2021,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,157034.6753678023,287827.39068656345
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,412646.0734418056,631445.9540164573
2023,00,17140,Cincinnati MSA,Advanced and Traded Industries,428877.38588755095,693472.4488120077
2022,00,34620,Muncie MSA,Advanced and Traded Industries,9540.831964324543,18245.74958989192
2022,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,88101.40387286898,187448.37459283185
2023,00,21780,Evansville MSA,AgriNovus,5732.785287464926,13594.51963317811
2020,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,161684.04438990942,281447.83209059027
2022,00,29200,Lafayette-West Lafayette MSA,AgriNovus,6929.083225792091,12467.604019369126
2019,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,104669.97450022958,115536.84052787682
2023,18,00000,Indiana,BioCrossroads,94084.87582135455,116482.33752738392
2021,00,31140,Louisville/Jefferson County MSA,BioCrossroads,9995.09872227553,9559.539500082687
2019,18,00000,Indiana,Conexus,935380.8882060341,2294747.168141394
2023,00,43780,South Bend-Mishawaka MSA,TechPoint,3663.4136192110077,4970.688144050586
2022,00,34620,Muncie MSA,TechPoint,1616.53144762578,1804.6672671689103
2021,00,29020,Kokomo MSA,AgriNovus,815.1714486084801,1994.4923553030367
2023,00,14020,Bloomington MSA,AgriNovus,1583.216217803724,3438.4022684387687
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,29868.028746300814,66844.04650363076
2020,00,33140,Michigan City-La Porte MSA,AgriNovus,2426.499824216313,4886.104350688004
2021,00,17140,Cincinnati MSA,BioCrossroads,20205.656641442936,20783.004662697007
2020,00,17140,Cincinnati MSA,BioCrossroads,18244.8028795725,19087.712713247136
2023,00,43780,South Bend-Mishawaka MSA,BioCrossroads,2073.162950300655,2452.163259862614
2020,00,21140,Elkhart-Goshen MSA,Conexus,84266.50579266924,198173.02431332928
2022,00,29200,Lafayette-West Lafayette MSA,Conexus,27204.530829741958,76901.67849110975
2019,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,366989.32534519123,587708.3971632544
2022,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,42220.61909418075,68480.82298515514
2021,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,42107.33749561042,67608.57567730393
2023,00,18020,Columbus MSA,AgriNovus,1134.2531163785436,2322.3777150526844
2021,00,21140,Elkhart-Goshen MSA,BioCrossroads,679.3156244353983,791.2209195039974
2023,00,17140,Cincinnati MSA,BioCrossroads,21688.220913019108,22052.766515775867
2020,00,43780,South Bend-Mishawaka MSA,BioCrossroads,2931.936698440112,2700.526261160922
2022,00,45460,Terre Haute MSA,Conexus,12054.008061639743,41303.986146818046
2022,00,43780,South Bend-Mishawaka MSA,Conexus,29591.609183126504,72049.67096052734
2019,00,17140,Cincinnati MSA,Conexus,239638.38670556675,626625.9441737409
2020,00,21780,Evansville MSA,Conexus,28751.086152998727,82283.30852405968
2022,00,33140,Michigan City-La Porte MSA,Conexus,14124.277888609813,31671.276370341315
2021,00,43780,South Bend-Mishawaka MSA,TechPoint,2992.9930732470834,4254.492697504248
2019,00,43780,South Bend-Mishawaka MSA,TechPoint,2977.369086780574,4176.799906576614
2022,00,45460,Terre Haute MSA,Advanced and Traded Industries,14429.736684731646,33726.254210372375
2020,00,23060,Fort Wayne MSA,Advanced and Traded Industries,71969.9155970704,135146.48090256972
2022,00,23060,Fort Wayne MSA,Advanced and Traded Industries,79022.29253552704,148527.85771223146
2020,00,14020,Bloomington MSA,Advanced and Traded Industries,21454.860071250547,26340.57220652957
2021,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,278534.3152054187,457841.6586317972
2022,00,21780,Evansville MSA,AgriNovus,5842.348168404877,13849.979051510827
2022,00,14020,Bloomington MSA,AgriNovus,1662.7497482508518,3553.6654753916546
2023,00,45460,Terre Haute MSA,AgriNovus,1767.21137121544,6810.405964056705
2020,00,31140,Louisville/Jefferson County MSA,AgriNovus,22679.778269078543,50009.17690031097
2023,00,18020,Columbus MSA,BioCrossroads,503.4828086645637,913.6750000111568
2020,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,105691.641330986,116219.0575664069
2019,18,00000,Indiana,BioCrossroads,83359.29800699496,103703.79650635243
2020,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2339.5508254927986,4189.561719285174
2023,00,21140,Elkhart-Goshen MSA,Conexus,93626.90361568006,208257.22964811997
2022,18,00000,Indiana,Conexus,1012060.2868098201,2359493.4550578687
2020,00,31140,Louisville/Jefferson County MSA,Conexus,195485.67796442032,461929.4027052336
2022,00,17140,Cincinnati MSA,TechPoint,27878.307960856244,57494.887127452486
2021,00,18020,Columbus MSA,TechPoint,630.074434502958,1886.6967384161194
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,32797.74734093997,64044.499279511154
2020,00,33140,Michigan City-La Porte MSA,TechPoint,324.416716587186,429.429272186868
2023,00,21780,Evansville MSA,Advanced and Traded Industries,42608.615874939496,79123.83541385688
2023,18,00000,Indiana,Advanced and Traded Industries,1196660.595194372,2135309.239226541
2022,00,18020,Columbus MSA,Advanced and Traded Industries,23320.529629605582,51170.81955014867
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,368289.93773546745,581142.1322454079
2021,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,25952.421757200686,62331.4068047136
2023,00,23060,Fort Wayne MSA,AgriNovus,6585.522347064923,13763.042002396753
2021,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,170549.47674533367,286455.0130199493
2019,18,00000,Indiana,AgriNovus,120200.36454643428,266878.96169112716
2019,00,45460,Terre Haute MSA,AgriNovus,1623.2251305037678,5855.405471405358
2019,0,00000,United States,AgriNovus,6500603.709590283,13518388.442763232
2020,00,21780,Evansville MSA,BioCrossroads,1628.146105773589,3014.27485412763
2021,00,29020,Kokomo MSA,TechPoint,195.893805470868,523.7156807288791
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,36551.90481874356,65295.33460272539
2020,00,43780,South Bend-Mishawaka MSA,TechPoint,2756.0041668172917,4081.790529355402
2022,00,29020,Kokomo MSA,Advanced and Traded Industries,10887.11754575955,25453.941041498496
2019,00,18020,Columbus MSA,Advanced and Traded Industries,24305.311379681618,53972.84202847178
2023,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,14063.729084026269,26555.251066633227
2019,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,165970.43091013972,288317.0673532258
2021,00,34620,Muncie MSA,BioCrossroads,132.62925075286702,99.3532009154614
2019,00,29020,Kokomo MSA,BioCrossroads,165.8118144786989,137.19829119195364
2021,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2946.117146994646,4680.197234766894
2022,00,34620,Muncie MSA,BioCrossroads,191.06923957143212,98.61388452548407
2019,00,21780,Evansville MSA,BioCrossroads,1547.4991590898587,2741.750806161648
2021,00,23060,Fort Wayne MSA,Conexus,61750.12698098284,157762.14620204046
2023,18,00000,Indiana,Conexus,1019619.6909633714,2345807.8042969084
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,304644.5636765175,615873.183383802
2019,00,23060,Fort Wayne MSA,Conexus,62148.09348702419,161772.4849069211
2022,00,43780,South Bend-Mishawaka MSA,TechPoint,3709.1637151552322,4969.329802020931
2023,00,29020,Kokomo MSA,TechPoint,267.78102247899596,545.792516439792
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,36652.129753815374,65674.11588076757
2019,00,31140,Louisville/Jefferson County MSA,TechPoint,19877.194979687436,35124.32958556914
2020,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,70837.00120096568,157515.919944019
2019,00,23060,Fort Wayne MSA,Advanced and Traded Industries,74888.81083394625,143020.01319216576
2019,00,45460,Terre Haute MSA,Advanced and Traded Industries,14250.35832478972,34054.95261054281
2019,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,270834.4997700689,452407.0338567916
2019,00,21780,Evansville MSA,Advanced and Traded Industries,40636.949706897685,78799.71530011766
2022,00,31140,Louisville/Jefferson County MSA,AgriNovus,25352.912588831852,54309.70693885648
2021,00,45460,Terre Haute MSA,BioCrossroads,1044.1841380735716,1296.360298460672
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,41170.795724372074,45970.613540651175
2020,00,23060,Fort Wayne MSA,Conexus,58149.17414591008,150660.9128277065
2023,00,45460,Terre Haute MSA,TechPoint,453.99939694823706,1215.67493594076
2023,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,29598.467574389408,67446.64215009335
2023,00,14020,Bloomington MSA,Advanced and Traded Industries,24749.407777352335,29937.238774177244
2022,00,31140,Louisville/Jefferson County MSA,BioCrossroads,11331.878879361597,10403.76248417613
2023,00,14020,Bloomington MSA,BioCrossroads,14288.859854424953,13730.124938192064
2021,00,17140,Cincinnati MSA,TechPoint,27017.381929158393,57403.18875936935
2021,00,45460,Terre Haute MSA,TechPoint,482.923518126891,1120.047647855142
2019,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,161954.62007097615,306041.14910803374
2023,00,33140,Michigan City-La Porte MSA,TechPoint,309.41653238265,428.239833462276
2020,00,45460,Terre Haute MSA,Advanced and Traded Industries,13344.23455276839,31922.566318930538
2022,0,00000,United States,AgriNovus,6873787.711250494,13754108.538303247
2021,00,23060,Fort Wayne MSA,AgriNovus,5853.108856615623,13621.583965637103
2021,0,00000,United States,AgriNovus,6519872.8526654085,13331481.245692845
2019,00,31140,Louisville/Jefferson County MSA,AgriNovus,22965.83586407192,51412.27022479548
2020,00,45460,Terre Haute MSA,BioCrossroads,904.7645112242246,1277.2570662358344
2023,0,00000,United States,BioCrossroads,3460709.232319039,4131721.804651039
2022,00,17140,Cincinnati MSA,Conexus,265356.4668701069,640236.7581130911
2019,00,16980,Chicago-Naperville-Elgin MSA,Conexus,1020650.5445238181,2205527.3202258605
2022,00,16980,Chicago-Naperville-Elgin MSA,Conexus,1070623.6294829184,2205101.2636035047
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,252039.69316219058,554339.6598160429
2019,00,33140,Michigan City-La Porte MSA,Conexus,13257.210872959753,31088.24763194717
2020,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,1574621.5823237184,2489300.8170285188
2021,00,23060,Fort Wayne MSA,Advanced and Traded Industries,74746.39168085143,140818.24437701324
2019,00,14020,Bloomington MSA,Advanced and Traded Industries,21058.815878276782,25631.28721244306
2021,18,00000,Indiana,Advanced and Traded Industries,1120062.2133307112,2048043.132139848
2023,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,287898.4255752789,474282.98585255194
2019,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,43655.76738105044,70535.2320730442
2022,00,29020,Kokomo MSA,AgriNovus,784.0551080595399,2098.1622226348004
2021,00,33140,Michigan City-La Porte MSA,AgriNovus,3081.050634110441,5740.949388452822
2023,00,31140,Louisville/Jefferson County MSA,AgriNovus,26251.911867097893,57918.08658344068
2023,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2669.6083210785896,5146.726961800775
2021,00,21780,Evansville MSA,BioCrossroads,1658.615641743807,3360.781670372105
2021,00,29200,Lafayette-West Lafayette MSA,Conexus,24913.41608935352,74408.23339566363
2022,00,21140,Elkhart-Goshen MSA,Conexus,106754.07677350426,236822.50390460092
