cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2027,174536.98127648042,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2028,175314.16527004086,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2019,50281.20737934376,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2021,320965.70802820835,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2026,51748.3052444946,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2027,335468.5258731906,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2028,52620.97455273307,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2020,4980.761115948055,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2021,4615.730941096396,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2022,4467.998852367624,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2025,4889.362295287592,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2026,4928.628215050298,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2027,20304.71402986368,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2019,77123.95774123906,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2022,3812.3961302742487,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2023,3688.867515137771,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2024,74745.78871616068,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2025,3651.441367191422,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2027,72380.52094239183,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2028,3726.5769991247125,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2021,3450.075757148898,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2024,3602.877688454029,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2028,3760.0566799487897,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2019,7740.777093130948,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2019,64752.65081203166,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2020,7256.50467549695,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2025,7675.296186171501,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2020,105393.19136350187,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2025,115806.5176445233,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2027,1024241.007436154,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2028,122408.2476900531,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2028,1028188.2803414967,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2020,276931.99785014323,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2021,41239.70547289758,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2024,314076.3891712506,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2025,46099.411094230236,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2028,331020.1903654323,Non-STEM
