statefips,countyfips,metrofips,geo_area,initiative,naics_title,naics_code,n_years,avg_growth,sd_growth,cv_growth,current_jobs
0,000,00000,United States,Conexus,Glass and Glass Product Manufacturing,3272,19,0.9377836336091868,24.120503571373824,25.72075552069811,34048.462501
0,000,00000,United States,Conexus,Specialized Freight Trucking,4842,9,-0.08732983859534402,2.076997917123118,23.78337061570904,475725.4805075
0,000,00000,United States,Conexus,Footwear Manufacturing,3162,9,-0.37998777519747046,7.651858136276229,20.137116601447886,12073.7940536
0,000,00000,United States,Conexus,Railroad Rolling Stock Manufacturing,3365,9,-0.3354107520299903,6.31129748542411,18.816622446437833,22752.0219131
0,000,00000,United States,TechPoint,All Other Publishers,513199,9,0.017929528566659907,5.627579354825225,313.87213188024094,47132.8609722
0,000,00000,United States,TechPoint,Electronic and Precision Equipment Repair and Maintenance,811210,9,0.10326102272084513,1.8671522583737616,18.08186873590632,110096.685182
0,000,00000,United States,TechPoint,Irradiation Apparatus Manufacturing,334517,9,-0.23332049965456442,2.3628098183380355,10.12688478653278,14294.665166
0,000,00000,United States,TechPoint,Other Communications Equipment Manufacturing,334290,9,0.23957570657556276,2.2336024334812556,9.323159119127014,18949.5121588
0,000,00000,United States,TechPoint,Electronic Computer Manufacturing,334111,9,-1.641176171644624,8.065702608173217,4.914586713802071,90504.4585004
0,000,00000,United States,TechPoint,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,9,0.5528708565477651,2.5837441056769155,4.673323028474179,234102.016956
0,000,00000,United States,TechPoint,Totalizing Fluid Meter and Counting Device Manufacturing,334514,9,-0.513738811931361,2.231482477234507,4.343612795859093,9122.23980887
0,000,00000,United States,TechPoint,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",334416,9,1.0706317316137384,4.091284410152959,3.821374137665676,18744.150673
0,000,00000,United States,TechPoint,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",334513,9,-0.7796774868233762,2.8604943574884265,3.6688174351973135,59234.2275722
0,000,00000,United States,TechPoint,Bare Printed Circuit Board Manufacturing,334412,9,-0.5645552230028951,1.5113607095414543,2.6770821488506606,26289.7078128
00,000,14020,Bloomington MSA,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,9,-1.0173174402844078,9.734586391271066,9.568877919314547,658.657593813694
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Nondepository Credit Intermediation,5222,9,-0.736982419901206,5.45748130573791,7.4051716273903745,111.31121694172
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Business Schools and Computer and Management Training,6114,9,1.9582261809849084,11.869295691797543,6.061248596843787,61.969581178473
00,000,14020,Bloomington MSA,Advanced & Traded Industries,"Veneer, Plywood, and Engineered Wood Product Manufacturing",3212,9,1.4649318614354576,8.872270165723888,6.056438800525593,56.5102299305
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Specialized Freight Trucking,4842,9,1.4996673991387401,8.302217730845639,5.536039348200545,309.6824947008
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Computer Systems Design and Related Services,5415,9,-1.0290023597125622,4.599430692115171,4.469796058971099,438.435689529784
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Scientific Research and Development Services,5417,9,1.6798732910426821,7.084881436785342,4.217509424408921,213.514843935345
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Other Wood Product Manufacturing,3219,9,4.688007694714948,18.813182371259717,4.013044260244894,69.224508332561
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Securities and Commodity Contracts Intermediation and Brokerage,5231,9,-1.6656227522239102,6.56493203592325,3.941427929678475,55.9021693224
00,000,14020,Bloomington MSA,Advanced & Traded Industries,Medical Equipment and Supplies Manufacturing,3391,9,2.0074221876951452,7.443625560015514,3.7080518515948233,5767.482023852637
00,000,14020,Bloomington MSA,AgriNovus,Other Grocery and Related Products Merchant Wholesalers,424490,9,-1.422822223774635,10.896396974806798,7.658298269969046,263.557388253
