statefips,countyfips,metrofips,geo_area,year,initiative,n_industries,min_wage,q25_wage,median_wage,q75_wage,max_wage,weighted_avg_wage
00,000,29200,Lafayette-West Lafayette MSA,2024,Advanced & Traded Industries,145,0,0,66490.94251135981,93087.1662422688,266997.9828439749,95551.59198448631
00,000,29200,Lafayette-West Lafayette MSA,2024,AgriNovus,100,0,0,0,64274.07514862501,319084.062765,NA
00,000,29200,Lafayette-West Lafayette MSA,2024,BioCrossroads,26,0,0,100780.6679535,130101.39695475,319084.062765,129610.60722732713
00,000,29200,Lafayette-West Lafayette MSA,2024,Conexus,122,0,0,63883.4893385,85252.52857969949,266997.9836215633,94222.86740568845
00,000,29200,Lafayette-West Lafayette MSA,2024,Finance & Insurance,35,0,0,78860.469278,100875.79633715001,279669.301456,96718.3732308712
00,000,29200,Lafayette-West Lafayette MSA,2024,Healthcare,28,0,56363.210373375005,61909.05336325,74841.75933232499,125666.618269,77391.98432320416
00,000,29200,Lafayette-West Lafayette MSA,2024,TechPoint,40,0,0,72679.7593986,99592.31012770001,288578.448904,112093.40051625871
00,000,31140,Louisville/Jefferson County MSA,2024,Advanced & Traded Industries,145,0,76929.79120762975,95523.43245569066,117422.05661348307,294684.7239637294,102651.54543162952
00,000,31140,Louisville/Jefferson County MSA,2024,AgriNovus,100,0,26302.99511125,70283.6417539,92947.6551563,281719.851483,NA
00,000,31140,Louisville/Jefferson County MSA,2024,BioCrossroads,26,0,86263.996997425,126995.363846,160753.40887400002,334655.058069,143588.72364165736
00,000,31140,Louisville/Jefferson County MSA,2024,Conexus,122,0,75154.72583490457,91300.97369857632,113792.59866304192,264595.06023686746,95463.93536269761
00,000,31140,Louisville/Jefferson County MSA,2024,Finance & Insurance,35,50433.4023867,102445.05914150001,117911.091084,155560.9109175,295108.130394,121916.21670567639
00,000,31140,Louisville/Jefferson County MSA,2024,Healthcare,28,51215.3845296,65101.12542985,79947.08059644999,93399.6115302,124449.823689,93158.84749418343
00,000,31140,Louisville/Jefferson County MSA,2024,TechPoint,40,0,107270.15118225002,126438.5327715,165052.66381225002,508048.841167,120136.69561278033
00,000,33140,Michigan City-La Porte MSA,2024,Advanced & Traded Industries,145,0,0,66699.28764307484,83142.00415458149,188955.16663300927,80610.93235812182
00,000,33140,Michigan City-La Porte MSA,2024,AgriNovus,100,0,0,0,43421.633917925006,188096.04978,NA
00,000,33140,Michigan City-La Porte MSA,2024,BioCrossroads,26,0,0,0,58702.16250395,165770.050263,78642.06007619877
00,000,33140,Michigan City-La Porte MSA,2024,Conexus,122,0,0,57892.8701455,79516.18291402925,188955.17647,75840.88345658174
00,000,33140,Michigan City-La Porte MSA,2024,Finance & Insurance,35,0,0,78593.5060798,101940.0160415,164908.930055,91461.83896038053
00,000,33140,Michigan City-La Porte MSA,2024,Healthcare,28,0,40335.403797499996,54696.8807458,66883.65614062501,142539.842399,80256.70428423499
00,000,33140,Michigan City-La Porte MSA,2024,TechPoint,40,0,0,0,72548.574038825,152426.319345,84046.26669181623
00,000,34620,Muncie MSA,2024,Advanced & Traded Industries,145,0,0,49188.65480320236,81047.48159461463,183233.5432406244,79920.06286850748
00,000,34620,Muncie MSA,2024,AgriNovus,100,0,0,0,0,111605.840148,NA
00,000,34620,Muncie MSA,2024,BioCrossroads,26,0,0,0,34716.449136150004,135111.995985,72615.23771615271
00,000,34620,Muncie MSA,2024,Conexus,122,0,0,35190.511167274206,76616.32340792309,135111.995985,78702.1526691351
00,000,34620,Muncie MSA,2024,Finance & Insurance,35,0,0,58221.7040586,81636.9668696,1434157.43153,72336.30291955019
00,000,34620,Muncie MSA,2024,Healthcare,28,0,52124.570543975,57690.73442315,79235.90680985,238371.283622,81728.30759446998
00,000,34620,Muncie MSA,2024,TechPoint,40,0,0,0,76290.984025325,114194.106927,88188.94321489257
00,000,43780,South Bend-Mishawaka MSA,2024,Advanced & Traded Industries,145,0,45879.60497286749,79363.80495137372,102612.98693058944,244403.0798504869,88835.45533062803
00,000,43780,South Bend-Mishawaka MSA,2024,AgriNovus,100,0,0,0,48820.5325988,216398.602207,NA
00,000,43780,South Bend-Mishawaka MSA,2024,BioCrossroads,26,0,0,63292.270026,110597.350629,232737.437327,108904.91824327761
00,000,43780,South Bend-Mishawaka MSA,2024,Conexus,122,0,33272.591167790655,70570.8867801979,93937.00096872682,228374.069569,82788.55876749477
00,000,43780,South Bend-Mishawaka MSA,2024,Finance & Insurance,35,0,67916.10118485,97104.4482777,107878.68270050001,248191.115069,106033.45245079842
00,000,43780,South Bend-Mishawaka MSA,2024,Healthcare,28,0,53876.845652575,67095.74203765,87335.9287389,187609.23752,83423.95220606428
00,000,43780,South Bend-Mishawaka MSA,2024,TechPoint,40,0,0,79958.17267045,129017.66122175,196499.759459,91067.93317997867
00,000,45460,Terre Haute MSA,2024,Advanced & Traded Industries,145,0,0,65452.80179561029,87438.48938005988,698226.181352994,82121.90799085406
00,000,45460,Terre Haute MSA,2024,AgriNovus,100,0,0,0,37227.324918775004,167815.382478,NA
00,000,45460,Terre Haute MSA,2024,BioCrossroads,26,0,0,0,74453.14699840001,167815.382478,120322.28082487208
00,000,45460,Terre Haute MSA,2024,Conexus,122,0,0,60277.86356405,84784.00662389817,521340.931178,81866.17853139469
00,000,45460,Terre Haute MSA,2024,Finance & Insurance,35,0,0,70868.9578792,89395.9248103,698226.224323,85262.14814090657
00,000,45460,Terre Haute MSA,2024,Healthcare,28,0,48409.23795339999,57629.3984271,79740.36457485,278737.261903,76702.10496213747
00,000,45460,Terre Haute MSA,2024,TechPoint,40,0,0,0,73964.22911117501,115260.422916,86890.59772609817
18,000,00000,Indiana,2024,Advanced & Traded Industries,145,18279.70288944119,73627.830116853,89285.656306267,105906.29132829598,302704.08796972287,99712.56999448182
18,000,00000,Indiana,2024,AgriNovus,100,0,62713.91662612499,78990.89099404999,89663.90237267499,255983.190229,NA
