statefips,countyfips,metrofips,geo_area,year,initiative,total_industries,top5_concentration,top10_concentration,herfindahl_index
00,000,21140,Elkhart-Goshen MSA,2024,BioCrossroads,26,74.50601087098232,98.33337235710974,1263.8454706065822
00,000,21140,Elkhart-Goshen MSA,2024,Conexus - Logistics,36,50.77039906350741,74.97082593276525,759.4652543994519
00,000,21140,Elkhart-Goshen MSA,2024,Conexus - Manufacturing,110,68.77778406968007,80.71161791459988,2362.012269135568
00,000,21140,Elkhart-Goshen MSA,2024,Finance & Insurance,35,82.44830314960797,95.44182377617688,1776.7174934135053
00,000,21140,Elkhart-Goshen MSA,2024,Healthcare,30,80.14700699442929,91.26014450600762,1968.6662737066051
00,000,21140,Elkhart-Goshen MSA,2024,TechPoint,40,63.96800585751459,91.38319992415668,1058.6968131684891
00,000,21780,Evansville MSA,2024,Advanced & Traded Industries,146,33.882775854010745,49.27924955515698,360.7161246052112
00,000,21780,Evansville MSA,2024,AgriNovus,100,49.88718680749713,69.48230446562161,670.2832300540259
00,000,21780,Evansville MSA,2024,BioCrossroads,26,93.35188855537739,99.89677224216119,4227.347246479178
00,000,21780,Evansville MSA,2024,Conexus - Logistics,36,60.383087363860994,79.08257427673878,1032.7040460127016
00,000,21780,Evansville MSA,2024,Conexus - Manufacturing,110,47.50773794838758,62.943203115290665,796.7788581463757
00,000,21780,Evansville MSA,2024,Finance & Insurance,35,76.86201574010303,92.46852682219978,1621.1114491379062
00,000,21780,Evansville MSA,2024,Healthcare,30,75.14687918749517,88.42448316066401,1974.2429265583978
00,000,21780,Evansville MSA,2024,TechPoint,40,76.05594726326619,98.15439537826768,1666.9806599357019
00,000,23060,Fort Wayne MSA,2024,Advanced & Traded Industries,146,23.063620807521882,38.78964787091265,230.08272774784623
00,000,23060,Fort Wayne MSA,2024,AgriNovus,100,47.78387072238661,67.85308907512058,646.8056297517448
00,000,23060,Fort Wayne MSA,2024,BioCrossroads,26,86.77820306752822,98.91566159721938,2431.064191569758
00,000,23060,Fort Wayne MSA,2024,Conexus - Logistics,36,55.47365041600012,79.52283354184769,878.6940267617582
00,000,23060,Fort Wayne MSA,2024,Conexus - Manufacturing,110,35.115076340644876,52.29915470642892,407.5916730614672
00,000,23060,Fort Wayne MSA,2024,Finance & Insurance,35,75.26266323538933,93.13241324743677,1331.7317801452539
00,000,23060,Fort Wayne MSA,2024,Healthcare,30,81.26302101397857,91.29242110248232,2693.013055968298
00,000,23060,Fort Wayne MSA,2024,TechPoint,40,65.45286680211537,88.65355340169825,1099.3613619744854
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,Advanced & Traded Industries,146,30.804874359697024,48.95369729888998,351.25326105667244
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,AgriNovus,100,32.99523219325972,55.15128957296332,393.6179714391882
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,BioCrossroads,26,78.84886278014116,95.89414092487037,2355.198231340077
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,Conexus - Logistics,36,65.16421844593823,80.66249175065519,1371.5921613314883
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,Conexus - Manufacturing,110,40.2066121100112,55.90989803515451,556.8974820502033
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,Finance & Insurance,35,63.90324700386013,87.19444172990688,1186.0818227068844
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,Healthcare,30,71.50272491755291,85.34710892887985,1397.0068037567428
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,TechPoint,40,71.74474742737193,86.91704966823323,1757.1771495119974
00,000,29020,Kokomo MSA,2024,Advanced & Traded Industries,146,72.4216913398305,80.6282780054158,3503.2654681477907
00,000,29020,Kokomo MSA,2024,AgriNovus,100,73.34654758536439,93.84758533184733,1649.7106203246283
00,000,29020,Kokomo MSA,2024,BioCrossroads,26,94.92082346206287,99.99999999999999,4447.047763525942
00,000,29020,Kokomo MSA,2024,Conexus - Logistics,36,64.76642603402185,82.6430228704242,1044.4237198733435
00,000,29020,Kokomo MSA,2024,Conexus - Manufacturing,110,91.50432423908505,95.91054273134402,6057.467874726649
00,000,29020,Kokomo MSA,2024,Finance & Insurance,35,88.41932655847128,96.78987136178038,1988.5339552691355
00,000,29020,Kokomo MSA,2024,Healthcare,30,69.8322790216462,87.88831087089861,1554.902547177298
00,000,29020,Kokomo MSA,2024,TechPoint,40,77.22257994456837,96.62411740021096,1377.5448518282494
00,000,29200,Lafayette-West Lafayette MSA,2024,Advanced & Traded Industries,146,44.789899968179824,57.554554539408905,618.6293071170323
00,000,29200,Lafayette-West Lafayette MSA,2024,AgriNovus,100,66.22782144999591,84.15310453443136,1351.5329153276018
00,000,29200,Lafayette-West Lafayette MSA,2024,BioCrossroads,26,79.99520809140509,97.72197094146615,1558.3247313752368
00,000,29200,Lafayette-West Lafayette MSA,2024,Conexus - Logistics,36,56.50292068013421,78.58750981416236,903.927445316527
00,000,29200,Lafayette-West Lafayette MSA,2024,Conexus - Manufacturing,110,64.2255857227703,77.83814405856519,1212.1568191010733
00,000,29200,Lafayette-West Lafayette MSA,2024,Finance & Insurance,35,82.06846316639464,94.65691862086591,1860.5422563651248
00,000,29200,Lafayette-West Lafayette MSA,2024,Healthcare,30,71.45462364091429,86.07162112584564,1974.133508701888
00,000,29200,Lafayette-West Lafayette MSA,2024,TechPoint,40,79.65377113521728,94.55231666905159,1616.3245244816994
00,000,31140,Louisville/Jefferson County MSA,2024,Advanced & Traded Industries,146,32.10276483792808,47.71390819778772,330.7631561821961
00,000,31140,Louisville/Jefferson County MSA,2024,AgriNovus,100,41.88859177693943,57.250199608219276,719.5105327030934
00,000,31140,Louisville/Jefferson County MSA,2024,BioCrossroads,26,78.67454997176557,94.77784872961234,1868.7478821040304
00,000,31140,Louisville/Jefferson County MSA,2024,Conexus - Logistics,36,66.02981300650124,79.19299214341794,1362.772232234666
00,000,31140,Louisville/Jefferson County MSA,2024,Conexus - Manufacturing,110,44.69916518895607,58.696672907186965,531.2122720366037
00,000,31140,Louisville/Jefferson County MSA,2024,Finance & Insurance,35,72.90938095529341,88.68976999437675,1470.0399071666775
00,000,31140,Louisville/Jefferson County MSA,2024,Healthcare,30,68.09448307191607,82.31920078727347,1588.4026803223915
00,000,31140,Louisville/Jefferson County MSA,2024,TechPoint,40,68.7099470754307,91.7909669390125,1231.2799537934357
00,000,33140,Michigan City-La Porte MSA,2024,Advanced & Traded Industries,146,37.79293096475679,50.81627278126913,405.39761993296975
00,000,33140,Michigan City-La Porte MSA,2024,AgriNovus,100,79.31427959272574,91.84444398331904,1852.9259611623588
00,000,33140,Michigan City-La Porte MSA,2024,BioCrossroads,26,95.66471648823455,100,2254.8396533603727
00,000,33140,Michigan City-La Porte MSA,2024,Conexus - Logistics,36,46.025743475528344,76.6349520654861,713.6682301975171
00,000,33140,Michigan City-La Porte MSA,2024,Conexus - Manufacturing,110,59.829708557963,73.14455290808786,853.066666729131
00,000,33140,Michigan City-La Porte MSA,2024,Finance & Insurance,35,85.79738177049855,96.64791544847708,2216.6340456572234
00,000,33140,Michigan City-La Porte MSA,2024,Healthcare,30,76.78654576682001,89.50697619407657,1907.4036472340558
00,000,33140,Michigan City-La Porte MSA,2024,TechPoint,40,89.99579433286654,98.56812503999912,4051.6828129386076
00,000,34620,Muncie MSA,2024,Advanced & Traded Industries,146,35.916571168712736,52.75985624653457,390.0715860289781
00,000,34620,Muncie MSA,2024,AgriNovus,100,63.45382523498525,87.28531140748585,1042.7878683634106
00,000,34620,Muncie MSA,2024,BioCrossroads,26,85.90188357024404,100,1849.1194963938956
00,000,34620,Muncie MSA,2024,Conexus - Logistics,36,57.85780661680262,81.20745485163538,930.8792287331837
00,000,34620,Muncie MSA,2024,Conexus - Manufacturing,110,55.551216441668096,74.68029110676085,920.7388083149611
00,000,34620,Muncie MSA,2024,Finance & Insurance,35,89.38117209557691,97.70771549354683,2407.153956793671
00,000,34620,Muncie MSA,2024,Healthcare,30,67.83922429229621,86.17832029647174,1257.6251584024942
00,000,34620,Muncie MSA,2024,TechPoint,40,87.8193184406452,99.12339609416428,2709.3126675447284
00,000,43780,South Bend-Mishawaka MSA,2024,Advanced & Traded Industries,146,21.820789785667372,35.771827241204335,219.07720724155365
00,000,43780,South Bend-Mishawaka MSA,2024,AgriNovus,100,52.71495698215029,75.5406312909093,739.5933811012557
00,000,43780,South Bend-Mishawaka MSA,2024,BioCrossroads,26,79.90559262641797,98.55954482194939,1837.2583936604824
00,000,43780,South Bend-Mishawaka MSA,2024,Conexus - Logistics,36,52.03190916727116,74.30477324435643,726.5208777026879
00,000,43780,South Bend-Mishawaka MSA,2024,Conexus - Manufacturing,110,32.35010699375699,50.77589831276894,397.6407794942223
00,000,43780,South Bend-Mishawaka MSA,2024,Finance & Insurance,35,83.92751624742385,93.75847303277367,1879.4214665888674
00,000,43780,South Bend-Mishawaka MSA,2024,Healthcare,30,74.12146959776507,88.09718335641709,1734.204341661292
00,000,43780,South Bend-Mishawaka MSA,2024,TechPoint,40,69.27397589924874,91.67912749107691,1419.3549589866138
00,000,45460,Terre Haute MSA,2024,Advanced & Traded Industries,146,36.01574788856236,48.62866818013143,370.0667798847133
00,000,45460,Terre Haute MSA,2024,AgriNovus,100,54.95998461251727,80.31617955496829,894.4523514550074
00,000,45460,Terre Haute MSA,2024,BioCrossroads,26,96.66160286200878,100.00000000000001,3195.5627455884855
00,000,45460,Terre Haute MSA,2024,Conexus - Logistics,36,59.706121752196765,80.1156686402972,1060.1602807717309
00,000,45460,Terre Haute MSA,2024,Conexus - Manufacturing,110,49.338179217479706,64.8792895971677,729.0941234673971
00,000,45460,Terre Haute MSA,2024,Finance & Insurance,35,83.87830529350762,95.1015390436136,2669.0767779562916
00,000,45460,Terre Haute MSA,2024,Healthcare,30,71.69176567965219,86.86776534795372,1619.0788777915507
00,000,45460,Terre Haute MSA,2024,TechPoint,40,80.68813548649533,97.08440498869334,1733.7114998175055
18,000,00000,Indiana,2024,Advanced & Traded Industries,146,21.60397957335908,35.78204276628321,206.12638274110222
18,000,00000,Indiana,2024,AgriNovus,100,27.10952224360487,44.736115024048765,292.1633434281459
18,000,00000,Indiana,2024,BioCrossroads,26,71.27925393879259,93.19842855268432,1381.6335241588154
18,000,00000,Indiana,2024,Conexus - Logistics,36,55.45194432704048,73.45812301371565,913.9952359978739
18,000,00000,Indiana,2024,Conexus - Manufacturing,110,32.720183047776246,47.53428320974723,343.79051434445205
18,000,00000,Indiana,2024,Finance & Insurance,35,64.52361138339715,85.29143661275903,1187.1344513655965
18,000,00000,Indiana,2024,Healthcare,30,72.1263081319229,85.4277232444588,1476.215640315205
18,000,00000,Indiana,2024,TechPoint,40,62.30212876946915,79.66702730166297,1211.6397799782894
