display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,NAICS,naics_title,Year,group_by_sort,sort,wages
1,1,    521 - Central Bank,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2023,1,1,197833.048105
1,4,    524 - Insurance,,,00,000,45460,Terre Haute MSA,000000,,2022,1,1,85375.65945846908
1,5,    525 - Funds and Trusts,,,0,000,00000,United States,000000,,2021,1,1,184955.63897527184
1,5,    525 - Funds and Trusts,,,0,000,00000,United States,000000,,2022,1,1,190975.09925260866
1,3,    523 - Securities and Investments,,,0,000,00000,United States,000000,,2023,1,1,307073.00933020003
1,3,    523 - Securities and Investments,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,1,1,361437.1885245912
1,1,    521 - Central Bank,,,00,000,18020,Columbus MSA,000000,,2021,1,1,0.0
1,2,    522 - Credit Intermediation,,,00,000,18020,Columbus MSA,000000,,2021,1,1,81433.05697440263
1,4,    524 - Insurance,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,1,1,96560.69798644837
1,2,    522 - Credit Intermediation,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2019,1,1,67721.34230065258
1,2,    522 - Credit Intermediation,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,1,1,100195.85309496016
1,5,    525 - Funds and Trusts,,,0,000,00000,United States,000000,,2020,1,1,179044.40989669535
1,4,    524 - Insurance,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,1,1,131934.60036659052
1,3,    523 - Securities and Investments,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,1,1,207523.99289303058
1,3,    523 - Securities and Investments,,,00,000,29020,Kokomo MSA,000000,,2022,1,1,96798.8126959963
1,5,    525 - Funds and Trusts,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,1,1,0.0
1,5,    525 - Funds and Trusts,,,00,000,33140,Michigan City-La Porte MSA,000000,,2023,1,1,112376.759146
1,1,    521 - Central Bank,,,00,000,34620,Muncie MSA,000000,,2022,1,1,0.0
1,3,    523 - Securities and Investments,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2021,1,1,157921.7859161449
1,3,    523 - Securities and Investments,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,1,1,226923.7395591792
1,2,    522 - Credit Intermediation,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,1,1,78280.77153995534
1,4,    524 - Insurance,,,00,000,29020,Kokomo MSA,000000,,2021,1,1,85407.02130344462
1,1,    521 - Central Bank,,,00,000,29020,Kokomo MSA,000000,,2022,1,1,0.0
1,1,    521 - Central Bank,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2019,1,1,144087.019786
1,4,    524 - Insurance,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,1,1,109172.88265576656
1,4,    524 - Insurance,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2022,1,1,110470.57918546816
1,3,    523 - Securities and Investments,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2023,1,1,166491.71503482774
1,1,    521 - Central Bank,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,1,1,0.0
1,5,    525 - Funds and Trusts,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2019,1,1,43447.93252974207
1,1,    521 - Central Bank,,,00,000,34620,Muncie MSA,000000,,2020,1,1,0.0
1,4,    524 - Insurance,,,18,000,00000,Indiana,000000,,2019,1,1,90400.67897733436
1,2,    522 - Credit Intermediation,,,18,000,00000,Indiana,000000,,2021,1,1,89171.89195851682
1,2,    522 - Credit Intermediation,,,00,000,14020,Bloomington MSA,000000,,2019,1,1,68858.43012321959
1,2,    522 - Credit Intermediation,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,1,1,75105.91100647989
1,1,    521 - Central Bank,,,00,000,21780,Evansville MSA,000000,,2020,1,1,0.0
1,5,    525 - Funds and Trusts,,,00,000,23060,Fort Wayne MSA,000000,,2023,1,1,96507.58065448314
1,2,    522 - Credit Intermediation,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,1,1,80929.67580508113
1,4,    524 - Insurance,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2023,1,1,116846.03733120419
1,2,    522 - Credit Intermediation,,,00,000,33140,Michigan City-La Porte MSA,000000,,2019,1,1,64436.21802428099
1,1,    521 - Central Bank,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,1,1,168105.768567
1,4,    524 - Insurance,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,1,1,73990.11811426982
1,2,    522 - Credit Intermediation,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2019,1,1,127266.75967691914
1,5,    525 - Funds and Trusts,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,1,1,192361.04501008
1,3,    523 - Securities and Investments,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,1,1,374656.99988049467
1,4,    524 - Insurance,,,00,000,18020,Columbus MSA,000000,,2022,1,1,79841.67583824856
