display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,naics,naics_title,Year,group_by_sort,sort,wages
0,0,Total - All Industries,,,0,000,00000,United States,000000,,2019,0,0,70902.88830384682
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,0,0,88660.71436956014
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,000000,,2019,0,0,69154.21134695712
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,000000,,2023,0,0,68003.1354950143
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,0,0,78245.6625700839
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2019,0,0,54782.73917047531
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2020,0,0,56930.39458418437
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2019,0,0,58551.31631436709
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,000000,,2019,0,0,58068.17292404337
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,0,0,69798.52786969843
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2022,0,0,76243.58140805323
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,000000,,2019,0,0,60990.836789218556
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,000000,,2021,0,0,74232.12321577637
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2019,0,0,65262.67168462173
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,000000,,2019,0,0,50086.82516587652
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2019,0,0,53929.83399252137
0,0,Total - All Industries,,,0,000,00000,United States,000000,,2021,0,0,80470.01752524626
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,000000,,2020,0,0,72974.69436277346
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,000000,,2021,0,0,75456.63672937256
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,000000,,2020,0,0,70287.62533297093
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2021,0,0,72698.44936208474
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2021,0,0,61465.600693567954
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,000000,,2019,0,0,50999.75105929871
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,000000,,2023,0,0,60413.69022974484
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,000000,,2022,0,0,64268.35261167204
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2023,0,0,76355.42813903095
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2019,0,0,51387.56157100524
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2023,0,0,62528.15253211045
0,0,Total - All Industries,,,18,000,00000,Indiana,000000,,2019,0,0,58875.02505299024
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2019,0,0,78325.62756539785
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,000000,,2020,0,0,60788.91394280243
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,000000,,2021,0,0,61279.03482870325
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,0,0,58298.648761011595
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,000000,,2021,0,0,55734.78923439648
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2023,0,0,64476.38604020151
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,0,0,74537.33365962989
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2022,0,0,76203.97344134901
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,000000,,2022,0,0,64725.58010749686
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,000000,,2023,0,0,66611.00679009811
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,000000,,2022,0,0,57873.33912586284
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,000000,,2020,0,0,53794.6534035417
0,0,Total - All Industries,,,18,000,00000,Indiana,000000,,2022,0,0,69278.23186635274
