display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,asian,black,hawaiian,hispanic,white,aian,diversity,two_or_more
2,2,Pharma,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,325414,Biological Product (except Diagnostic) Manufacturing,2,2,6.12929935368,5.9730149491,0.0,4.11644975864,66.3615645668,0.0,0.201407032967,0.517779302012
2,2,Pharma,,,00,000,29020,Kokomo MSA,2019,325411,Medicinal and Botanical Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2019,325412,Pharmaceutical Preparation Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2019,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2019,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2020,325411,Medicinal and Botanical Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2020,325412,Pharmaceutical Preparation Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2020,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2020,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2021,325411,Medicinal and Botanical Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2021,325412,Pharmaceutical Preparation Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2021,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2021,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2022,325411,Medicinal and Botanical Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2022,325412,Pharmaceutical Preparation Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2022,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2022,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2023,325411,Medicinal and Botanical Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2023,325412,Pharmaceutical Preparation Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2023,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29020,Kokomo MSA,2023,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2019,325411,Medicinal and Botanical Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2019,325412,Pharmaceutical Preparation Manufacturing,2,2,16.1867001569,17.7306215678,0.0,6.78141464734,192.739247852,0.0,0.194651392984,5.88601307697
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2019,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2019,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2020,325411,Medicinal and Botanical Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2020,325412,Pharmaceutical Preparation Manufacturing,2,2,0.0,1.74750362871,0.0,0.704235611706,15.4368119085,0.0,0.137056333965,0.0
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2020,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
