display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
0,0,Life Sciences Total,,,0,000,00000,United States,2022,000000,,0,0,2000853.4180000005
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2022,000000,,0,0,67.7
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2021,000000,,0,0,917.0500000000002
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2019,000000,,0,0,718.8239999999998
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,2523.0219999999995
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,69786.834
0,0,Life Sciences Total,,,00,000,45460,Terre Haute MSA,2021,000000,,0,0,391.602
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,10586.32
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,381.81199999999995
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,43720.15799999998
0,0,Life Sciences Total,,,0,000,00000,United States,2021,000000,,0,0,1698358.2859999996
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,2885.1060000000007
0,0,Life Sciences Total,,,00,000,34620,Muncie MSA,2023,000000,,0,0,279.938
0,0,Life Sciences Total,,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,0,0,6647.240000000002
0,0,Life Sciences Total,,,18,000,00000,Indiana,2022,000000,,0,0,51211.66599999998
0,0,Life Sciences Total,,,0,000,00000,United States,2023,000000,,0,0,1591141.534
0,0,Life Sciences Total,,,18,000,00000,Indiana,2020,000000,,0,0,29262.639999999996
0,0,Life Sciences Total,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,764.8499999999999
0,0,Life Sciences Total,,,00,000,33140,Michigan City-La Porte MSA,2020,000000,,0,0,87.22999999999999
0,0,Life Sciences Total,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,840.8479999999998
0,0,Life Sciences Total,,,00,000,34620,Muncie MSA,2019,000000,,0,0,154.58
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,46676.427999999985
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,21262.927999999996
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,15666.821999999996
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,4518.342000000001
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,1071.874
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2021,000000,,0,0,1494.1640000000004
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,1197.726
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,7296.488000000001
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,53961.716
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2023,000000,,0,0,1240.59
0,0,Life Sciences Total,,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,0,0,367.19999999999993
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,264.21399999999994
0,0,Life Sciences Total,,,18,000,00000,Indiana,2023,000000,,0,0,39224.104
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,2171.544
0,0,Life Sciences Total,,,00,000,29200,Lafayette-West Lafayette MSA,2021,000000,,0,0,626.3799999999999
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,2676.358
0,0,Life Sciences Total,,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,0,0,4148.626000000001
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2020,000000,,0,0,191.326
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,205.35199999999995
1,2,Pharma,,,00,000,14020,Bloomington MSA,2022,000000,,1,1,608.0
1,2,Pharma,,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,220.0
1,2,Pharma,,,00,000,14020,Bloomington MSA,2020,000000,,1,1,1830.0
1,1,Ag/Bio,,,00,000,18020,Columbus MSA,2019,000000,,1,1,0.0
1,4,Research/Testing,,,00,000,45460,Terre Haute MSA,2022,000000,,1,1,77.60399999999998
1,4,Research/Testing,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,1,1,83.076
1,3,MedDev,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,1,1,74.0
1,3,MedDev,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,1,1,21998.0
1,1,Ag/Bio,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,1,1,1430.0
1,6,Bio-Logistics,,,00,000,45460,Terre Haute MSA,2019,000000,,1,1,20.854
1,6,Bio-Logistics,,,0,000,00000,United States,2021,000000,,1,1,246718.966
1,1,Ag/Bio,,,18,000,00000,Indiana,2020,000000,,1,1,1798.0
1,4,Research/Testing,,,0,000,00000,United States,2021,000000,,1,1,485029.32000000007
1,3,MedDev,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,1,1,18036.0
1,2,Pharma,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,1,1,40.0
1,4,Research/Testing,,,00,000,18020,Columbus MSA,2023,000000,,1,1,17.955999999999996
1,4,Research/Testing,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,1,1,22.378
1,1,Ag/Bio,,,0,000,00000,United States,2021,000000,,1,1,48330.0
1,1,Ag/Bio,,,00,000,21780,Evansville MSA,2022,000000,,1,1,84.0
1,6,Bio-Logistics,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,1,1,155.24399999999997
1,1,Ag/Bio,,,00,000,17140,Cincinnati MSA,2020,000000,,1,1,182.0
1,6,Bio-Logistics,,,00,000,43780,South Bend-Mishawaka MSA,2022,000000,,1,1,344.2639999999999
1,2,Pharma,,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,1,1,110.0
1,2,Pharma,,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,1,1,758.0
1,4,Research/Testing,,,00,000,23060,Fort Wayne MSA,2021,000000,,1,1,399.34400000000005
1,4,Research/Testing,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,1,1,98.17600000000002
1,4,Research/Testing,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,1,1,167.584
1,4,Research/Testing,,,00,000,14020,Bloomington MSA,2019,000000,,1,1,14.564
1,1,Ag/Bio,,,18,000,00000,Indiana,2022,000000,,1,1,2408.0
1,4,Research/Testing,,,18,000,00000,Indiana,2022,000000,,1,1,8828.532
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,2232.288
0,0,Life Sciences Total,,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,0,0,679.968
0,0,Life Sciences Total,,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,652.932
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,8041.324000000005
0,0,Life Sciences Total,,,00,000,29020,Kokomo MSA,2022,000000,,0,0,146.664
0,0,Life Sciences Total,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,4473.044000000002
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,179.004
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,10983.854000000003
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,61.608000000000004
0,0,Life Sciences Total,,,00,000,29020,Kokomo MSA,2019,000000,,0,0,148.522
