year,NAICS,occ
2024,311313,29-1141
2027,311511,17-3019
2028,312111,13-2052
2020,312140,41-2021
2027,424590,49-9071
2023,115115,51-6051
2020,311221,51-4022
2024,311512,33-1091
2021,311710,45-2099
2021,325411,29-1024
2027,115116,51-3093
2023,311612,51-7032
2019,311821,35-3023
2023,311824,53-6032
2025,311991,39-3092
2021,312113,43-3021
2022,325412,15-1299
2027,111000,33-9091
2024,113310,47-3011
2024,311513,29-2043
2027,493120,39-9032
2025,311412,33-2011
2028,311613,53-2011
2021,311919,43-5041
2024,312120,49-3041
2019,312120,51-9071
2021,325311,43-4121
2023,325412,53-3051
2023,114111,15-1254
2026,115113,41-9012
2027,115113,29-1249
2021,311942,43-9021
2028,325315,47-4071
2021,424440,49-9096
2027,311611,53-7062
2025,311920,51-9111
2019,311999,49-3021
2027,325412,15-2051
2028,325414,41-9022
2028,424440,51-2041
2026,424460,27-2021
2028,115116,21-1021
2023,311812,43-9051
2021,424450,43-4131
2019,424470,19-4061
2022,311224,47-3015
2026,311611,11-1011
2027,311615,51-9141
2023,311999,19-3092
2025,322110,25-2051
2024,325411,51-3021
2021,325413,47-5081
2022,311314,47-3013
2028,311423,51-4071
2019,311615,49-3092
2020,311941,43-3099
2025,312230,51-4199
2023,424410,19-1023
2025,424410,49-9052
2022,424440,43-5031
2024,424450,37-1011
2023,424590,43-5111
2019,493120,11-9041
2019,113110,27-1025
2023,311411,45-2021
2024,311422,49-9051
2026,311813,29-1131
2020,311813,15-1252
2021,311999,19-4042
2022,325314,51-9151
2020,424410,19-2021
2024,424420,25-2023
2021,424590,47-5032
2025,493130,51-2098
2023,114119,33-2021
2025,311221,43-4111
2022,311314,49-3021
2024,311314,37-1011
2022,311513,43-2011
2027,311611,41-3041
2025,311999,47-2141
2028,321113,21-2099
2022,115112,43-2021
2021,115113,13-1011
2020,311111,43-6011
2020,311213,17-3031
2023,311824,49-3043
2028,312230,29-1131
2019,325414,37-1011
2019,424480,19-1011
2019,424590,11-2011
2021,311314,43-4131
2027,311422,17-3028
2021,311942,53-7081
2020,312140,17-1011
2024,113110,17-3011
2021,114111,43-4199
2027,115111,51-9193
2020,311314,41-2012
2023,493120,49-3011
2019,115115,37-2021
2020,311520,33-2022
2022,311920,11-9021
2020,312113,51-7031
2024,312230,51-7032
2021,325412,15-1241
2025,424460,25-3031
2023,112000,51-9162
2019,115112,19-3093
2028,311423,29-2043
2019,311514,51-9123
2024,321113,21-1091
2025,115210,39-5012
2024,311314,49-3043
2024,311611,43-5041
2019,424470,13-1011
2024,311422,39-5011
2023,311612,27-1025
2023,311710,39-5092
2019,311991,47-2061
2027,325315,37-1012
2022,424470,19-3091
2025,493120,51-9194
2020,114112,51-9124
2022,311512,47-1011
2024,311512,25-9099
2025,311821,29-1292
2026,311821,41-9021
2022,312120,41-3021
2024,424480,29-1161
2021,424490,51-6051
2028,115116,15-1241
2021,311111,31-1132
2023,311225,13-2054
