sector_id,sector_name,statefips,countyfips,year,own,disc,naics,repunits,empl,wages
2,522 - Credit Intermediation,34,000,2019,0,1,522292,323.0,7427.66,907934588.0
3,524 - Insurance,22,000,2019,0,0,524210,2590.0,12449.58,808341568.0
3,524 - Insurance,27,000,2021,0,0,524128,49.0,189.16,21373466.0
2,522 - Credit Intermediation,28,000,2022,0,0,522320,77.0,289.33,21586146.0
3,523 - Securities and Investments,20,000,2021,0,0,523991,33.0,266.0,19676935.0
3,523 - Securities and Investments,20,000,2024,0,0,523940,915.0,4835.58,666454741.0
3,524 - Insurance,31,000,2021,0,0,524127,33.0,171.08,13155548.0
3,523 - Securities and Investments,18,000,2024,0,0,523910,56.0,181.83,30765005.0
1,521 - Central Bank,35,000,2023,0,1,521110,2.0,0.0,0.0
2,522 - Credit Intermediation,06,000,2018,0,0,522310,2282.0,14547.16,1414500734.0
3,523 - Securities and Investments,53,000,2019,0,0,523991,74.0,360.5,31542178.0
3,524 - Insurance,44,000,2021,0,0,524127,13.0,69.58,6527644.0
3,524 - Insurance,0 ,000,2023,0,1,524291,8279.0,63269.08,6196434376.0
3,525 - Funds and Trusts,13,000,2020,0,1,525190,12.0,0.0,0.0
2,522 - Credit Intermediation,78,000,2023,0,1,522320,3.0,0.0,0.0
3,524 - Insurance,13,000,2018,0,0,524127,36.0,918.5,97752275.0
3,525 - Funds and Trusts,05,000,2023,0,1,525990,8.0,0.0,0.0
3,525 - Funds and Trusts,45,000,2024,0,0,525910,54.0,82.41,9723645.0
2,522 - Credit Intermediation,20,000,2024,0,0,522292,213.0,1471.66,174267047.0
2,522 - Credit Intermediation,23,000,2024,0,0,522130,197.0,2618.25,180305627.0
2,522 - Credit Intermediation,46,000,2021,0,0,522292,83.0,569.0,69575280.0
3,523 - Securities and Investments,55,000,2023,0,0,523999,34.0,276.75,36481080.0
3,524 - Insurance,34,000,2022,0,0,524114,381.0,8041.75,1000854683.0
3,525 - Funds and Trusts,25,000,2022,0,0,525990,80.0,146.41,28448682.0
3,524 - Insurance,37,000,2020,0,0,524210,4495.0,25736.75,2026278330.0
3,524 - Insurance,54,000,2019,0,0,524128,9.0,33.75,2737848.0
2,522 - Credit Intermediation,17,000,2021,0,1,522292,354.0,6320.33,993690280.0
2,522 - Credit Intermediation,31,000,2022,0,0,522180,41.0,455.0,29640460.0
2,522 - Credit Intermediation,42,000,2018,0,0,522110,3787.0,57312.83,4129397308.0
2,522 - Credit Intermediation,26,000,2021,0,0,522291,87.0,453.16,35523702.0
3,524 - Insurance,32,000,2019,0,0,524126,70.0,1422.08,123299186.0
2,522 - Credit Intermediation,51,000,2021,0,0,522320,157.0,1690.91,238641892.0
3,524 - Insurance,24,000,2019,0,1,524292,116.0,2493.33,214987892.0
3,524 - Insurance,24,000,2020,0,1,524126,291.0,7106.91,867301194.0
3,524 - Insurance,24,000,2021,0,1,524114,160.0,5286.91,574198122.0
2,522 - Credit Intermediation,55,000,2019,0,0,522130,543.0,8481.5,406238468.0
3,524 - Insurance,24,000,2024,0,0,524210,2106.0,13155.83,1436917655.0
3,525 - Funds and Trusts,05,000,2019,0,1,525990,4.0,0.0,0.0
3,524 - Insurance,24,000,2019,0,0,524130,17.0,203.41,20244763.0
3,524 - Insurance,49,000,2024,0,0,524130,13.0,41.83,3926518.0
2,522 - Credit Intermediation,34,000,2018,0,0,522210,9.0,112.0,25956346.0
2,522 - Credit Intermediation,24,000,2019,0,1,522220,85.0,0.0,0.0
3,524 - Insurance,39,000,2019,0,0,524114,167.0,17502.83,1346291097.0
3,524 - Insurance,29,000,2024,0,0,524298,279.0,2209.08,228486543.0
3,524 - Insurance,55,000,2021,0,0,524127,91.0,875.08,56578304.0
3,525 - Funds and Trusts,38,000,2023,0,1,525120,2.0,0.0,0.0
3,524 - Insurance,29,000,2021,0,0,524292,217.0,7908.41,884653964.0
3,524 - Insurance,45,000,2018,0,0,524127,42.0,213.33,23185732.0
2,522 - Credit Intermediation,45,000,2023,0,0,522291,758.0,3054.0,174067670.0
2,522 - Credit Intermediation,29,000,2022,0,0,522299,183.0,1168.58,73366501.0
3,523 - Securities and Investments,36,000,2020,0,0,523991,74.0,1008.08,340139057.0
3,525 - Funds and Trusts,18,000,2022,0,0,525920,76.0,49.0,5762786.0
3,525 - Funds and Trusts,38,000,2020,0,1,525990,5.0,0.0,0.0
3,524 - Insurance,42,000,2020,0,0,524114,347.0,34049.5,3019774690.0
3,525 - Funds and Trusts,28,000,2020,0,1,525190,3.0,0.0,0.0
3,523 - Securities and Investments,28,000,2024,0,0,523910,22.0,44.16,3162667.0
3,525 - Funds and Trusts,49,000,2019,0,1,525910,14.0,0.0,0.0
2,522 - Credit Intermediation,20,000,2018,0,0,522130,167.0,2548.33,122618304.0
2,522 - Credit Intermediation,38,000,2020,0,1,522390,5.0,0.0,0.0
3,524 - Insurance,30,000,2022,0,0,524126,53.0,322.41,27643280.0
2,522 - Credit Intermediation,50,000,2023,0,1,522390,6.0,0.0,0.0
3,523 - Securities and Investments,10,000,2024,0,0,523999,19.0,15.25,4234122.0
2,522 - Credit Intermediation,41,000,2019,0,1,522220,60.0,0.0,0.0
2,522 - Credit Intermediation,18,000,2022,0,0,522310,258.0,1768.16,152780808.0
3,523 - Securities and Investments,22,000,2022,0,0,523910,82.0,181.0,19302876.0
3,524 - Insurance,06,000,2023,0,0,524298,429.0,4944.33,559820974.0
3,525 - Funds and Trusts,55,000,2019,0,1,525120,2.0,0.0,0.0
2,522 - Credit Intermediation,23,000,2022,0,0,522320,37.0,1271.33,167078632.0
3,523 - Securities and Investments,22,000,2021,0,0,523991,18.0,107.75,9417289.0
3,524 - Insurance,44,000,2024,0,0,524127,17.0,72.41,8289846.0
3,523 - Securities and Investments,29,000,2022,0,0,523210,18.0,57.58,8345521.0
3,524 - Insurance,06,000,2023,0,0,524127,593.0,8124.0,1116580750.0
2,522 - Credit Intermediation,21,000,2024,0,0,522390,264.0,689.33,32345440.0
2,522 - Credit Intermediation,33,000,2022,0,0,522320,38.0,124.5,16235933.0
2,522 - Credit Intermediation,40,000,2019,0,1,522291,674.0,1937.33,69909845.0
3,523 - Securities and Investments,31,000,2019,0,0,523999,6.0,243.25,17479140.0
3,524 - Insurance,40,000,2020,0,0,524113,44.0,2010.33,172422650.0
3,523 - Securities and Investments,31,000,2023,0,0,523150,193.0,2203.5,330692577.0
3,525 - Funds and Trusts,15,000,2019,0,0,525990,8.0,9.0,552411.0
2,522 - Credit Intermediation,09,000,2021,0,0,522110,767.0,8517.41,1016690549.0
3,525 - Funds and Trusts,40,000,2022,0,1,525120,2.0,0.0,0.0
2,522 - Credit Intermediation,19,000,2024,0,0,522180,21.0,140.66,12193717.0
3,524 - Insurance,17,000,2021,0,0,524291,269.0,2239.0,221791419.0
2,522 - Credit Intermediation,24,000,2023,0,0,522130,296.0,5065.33,410086257.0
3,525 - Funds and Trusts,17,000,2020,0,0,525920,33.0,86.08,12312995.0
3,523 - Securities and Investments,39,000,2021,0,0,523910,81.0,310.33,90731326.0
3,524 - Insurance,32,000,2022,0,0,524128,18.0,145.41,10302973.0
3,524 - Insurance,39,000,2019,0,1,524298,190.0,3329.58,183792003.0
2,522 - Credit Intermediation,19,000,2022,0,0,522110,1482.0,27641.5,2244292759.0
3,524 - Insurance,17,000,2024,0,0,524298,447.0,8861.08,1040520030.0
2,522 - Credit Intermediation,31,000,2019,0,0,522310,47.0,162.58,17433714.0
3,523 - Securities and Investments,26,000,2021,0,0,523991,56.0,504.75,48788289.0
3,524 - Insurance,49,000,2020,0,1,524114,76.0,2848.41,233997153.0
2,522 - Credit Intermediation,51,000,2019,0,1,522220,154.0,0.0,0.0
3,523 - Securities and Investments,26,000,2019,0,0,523999,192.0,402.58,45518532.0
3,523 - Securities and Investments,26,000,2021,0,0,523999,236.0,610.08,78036368.0
2,522 - Credit Intermediation,39,000,2024,0,0,522320,250.0,8855.25,1009144935.0
3,524 - Insurance,05,000,2020,0,0,524126,132.0,1243.75,97050832.0
2,522 - Credit Intermediation,39,000,2024,0,0,522291,340.0,1490.41,147021717.0
2,522 - Credit Intermediation,16,000,2020,0,0,522320,53.0,187.91,17199476.0
3,524 - Insurance,51,000,2019,0,0,524210,3035.0,18321.83,1430269306.0
3,523 - Securities and Investments,35,000,2020,0,0,523991,13.0,59.75,2969009.0
3,524 - Insurance,06,000,2021,0,0,524113,695.0,13782.75,1404184531.0
3,525 - Funds and Trusts,23,000,2020,0,1,525990,4.0,0.0,0.0
3,523 - Securities and Investments,22,000,2023,0,0,523910,84.0,162.5,19273848.0
3,525 - Funds and Trusts,23,000,2019,0,1,525110,3.0,0.0,0.0
2,522 - Credit Intermediation,18,000,2022,0,0,522320,128.0,1480.83,106855755.0
3,524 - Insurance,44,000,2020,0,0,524126,49.0,3208.66,345833613.0
3,524 - Insurance,06,000,2022,0,0,524210,14718.0,92425.0,9991068812.0
3,523 - Securities and Investments,04,000,2018,0,0,523210,5.0,4.0,342790.0
3,524 - Insurance,01,000,2018,0,0,524127,33.0,658.5,39621683.0
2,522 - Credit Intermediation,44,000,2019,0,0,522390,18.0,118.5,4602767.0
3,524 - Insurance,39,000,2023,0,0,524291,157.0,1099.08,107513220.0
2,522 - Credit Intermediation,50,000,2024,0,1,522220,11.0,0.0,0.0
2,522 - Credit Intermediation,28,000,2022,0,0,522210,9.0,7.66,1108064.0
3,523 - Securities and Investments,37,000,2022,0,0,523991,84.0,222.08,20369219.0
3,524 - Insurance,30,000,2022,0,0,524130,5.0,8.91,556512.0
2,522 - Credit Intermediation,49,000,2022,0,0,522220,135.0,1477.66,128714673.0
3,523 - Securities and Investments,21,000,2019,0,1,523910,26.0,0.0,0.0
3,524 - Insurance,40,000,2020,0,0,524114,35.0,1989.83,142402469.0
1,521 - Central Bank,25,000,2023,0,1,521110,24.0,0.0,0.0
2,522 - Credit Intermediation,49,000,2024,0,0,522210,26.0,1601.08,140052324.0
2,522 - Credit Intermediation,49,000,2024,0,0,522292,367.0,3219.08,371147844.0
3,525 - Funds and Trusts,19,000,2019,0,0,525110,6.0,19.16,1052207.0
2,522 - Credit Intermediation,42,000,2023,0,0,522110,4009.0,55888.08,5226661400.0
3,524 - Insurance,38,000,2018,0,1,524291,39.0,0.0,0.0
3,525 - Funds and Trusts,05,000,2024,0,1,525910,3.0,0.0,0.0
3,525 - Funds and Trusts,13,000,2018,0,1,525190,8.0,0.0,0.0
2,522 - Credit Intermediation,06,000,2022,0,0,522180,252.0,2228.0,217946960.0
3,525 - Funds and Trusts,54,000,2020,0,0,525920,50.0,21.58,684496.0
3,525 - Funds and Trusts,0 ,000,2019,0,1,525190,199.0,1537.25,157031432.0
2,522 - Credit Intermediation,05,000,2021,0,1,522390,30.0,0.0,0.0
3,523 - Securities and Investments,38,000,2018,0,0,523991,7.0,43.83,3866436.0
3,524 - Insurance,13,000,2020,0,0,524127,51.0,597.91,69473474.0
3,523 - Securities and Investments,47,000,2023,0,0,523999,42.0,107.08,18759914.0
3,524 - Insurance,15,000,2023,0,0,524127,18.0,139.16,14845573.0
3,524 - Insurance,29,000,2023,0,0,524126,320.0,6404.83,608029129.0
3,524 - Insurance,45,000,2018,0,0,524114,77.0,9430.41,651068664.0
3,525 - Funds and Trusts,56,000,2023,0,0,525110,3.0,3.0,2274053.0
2,522 - Credit Intermediation,0 ,000,2020,0,0,522292,16403.0,241714.5,35971863545.0
3,524 - Insurance,04,000,2018,0,0,524126,270.0,9562.66,668412531.0
