cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
AgriNovus,Chicago-Naperville-Elgin MSA,00,000,16980,2024,267.5945720806637,STEM
Conexus,Kokomo MSA,00,000,29020,2021,577.0810144916027,STEM
Conexus,Muncie MSA,00,000,34620,2026,6064.004839571967,Non-STEM
BioCrossroads,Kokomo MSA,00,000,29020,2019,237.1715512071957,Non-STEM
Conexus,Elkhart-Goshen MSA,00,000,21140,2023,72805.56190101994,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2027,327064.8404408429,Non-STEM
Conexus,Terre Haute MSA,00,000,45460,2028,726.4988923698501,STEM
Conexus,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2023,229695.7975703401,Non-STEM
TechPoint,Terre Haute MSA,00,000,45460,2025,479.42083671345677,Non-STEM
Finance,Lafayette-West Lafayette MSA,00,000,29200,2019,130.18741620692472,STEM
Finance,Cincinnati MSA,00,000,17140,2026,47556.46262395009,Non-STEM
Health,Lafayette-West Lafayette MSA,00,000,29200,2028,10558.2897204033,Non-STEM
AgriNovus,Muncie MSA,00,000,34620,2026,145.2281973914621,Non-STEM
TechPoint,United States,0,000,00000,2024,3218772.9917622074,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2027,7896.015540524704,STEM
Conexus,Evansville MSA,00,000,21780,2023,28471.776113691525,Non-STEM
Conexus,Louisville/Jefferson County MSA,00,000,31140,2026,10029.4270508769,STEM
Conexus,Columbus MSA,00,000,18020,2022,3515.058388050175,STEM
Finance,Elkhart-Goshen MSA,00,000,21140,2021,100.5821354723007,STEM
AgriNovus,Lafayette-West Lafayette MSA,00,000,29200,2020,10.64262583392987,STEM
Conexus,Evansville MSA,00,000,21780,2027,1744.8739844419358,STEM
Finance,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2024,45408.02157020673,Non-STEM
Health,Michigan City-La Porte MSA,00,000,33140,2026,4468.888957198012,Non-STEM
BioCrossroads,Lafayette-West Lafayette MSA,00,000,29200,2023,744.7275308228022,STEM
TechPoint,Bloomington MSA,00,000,14020,2022,560.048682406331,Non-STEM
Health,Kokomo MSA,00,000,29020,2026,15.809796081784688,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2022,87558.69770116944,Non-STEM
Finance,Fort Wayne MSA,00,000,23060,2023,873.8867646177897,STEM
Finance,Kokomo MSA,00,000,29020,2028,53.91621111631687,STEM
Finance,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2024,4441.053081455682,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2025,329952.87143981433,Non-STEM
BioCrossroads,Chicago-Naperville-Elgin MSA,00,000,16980,2025,21856.489172093457,STEM
BioCrossroads,Terre Haute MSA,00,000,45460,2026,82.17252284119046,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2026,53672.9359515895,STEM
Conexus,Bloomington MSA,00,000,14020,2022,13027.519895453454,Non-STEM
Finance,Columbus MSA,00,000,18020,2026,1038.9059193583284,Non-STEM
TechPoint,Muncie MSA,00,000,34620,2023,500.44776734786484,STEM
Finance,Louisville/Jefferson County MSA,00,000,31140,2022,3216.5794717001,STEM
Health,Evansville MSA,00,000,21780,2020,19411.525612791822,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2025,4775.3950375546465,STEM
Finance,Lafayette-West Lafayette MSA,00,000,29200,2025,157.4064296223351,STEM
Health,Kokomo MSA,00,000,29020,2023,20.32102089896058,STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2027,32166.421289018843,Non-STEM
BioCrossroads,Louisville/Jefferson County MSA,00,000,31140,2020,1300.5408833978913,STEM
TechPoint,Indiana,18,000,00000,2021,28992.800851685042,STEM
BioCrossroads,Indiana,18,000,00000,2025,58793.06602778024,Non-STEM
Conexus,Michigan City-La Porte MSA,00,000,33140,2020,10100.396583999654,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2023,69388.88600333234,Non-STEM
BioCrossroads,Bloomington MSA,00,000,14020,2019,5711.02762418155,Non-STEM
BioCrossroads,Muncie MSA,00,000,34620,2025,90.06035788034451,STEM
AgriNovus,Terre Haute MSA,00,000,45460,2025,3.240351277636,STEM
AgriNovus,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2026,142.91492577254104,STEM
Conexus,Indiana,18,000,00000,2025,821179.5431132448,Non-STEM
Conexus,Terre Haute MSA,00,000,45460,2020,751.8105054975879,STEM
Conexus,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2026,238621.12761190577,Non-STEM
AgriNovus,Fort Wayne MSA,00,000,23060,2025,759.3974477871833,Non-STEM
Conexus,Kokomo MSA,00,000,29020,2023,635.7571376458438,STEM
AgriNovus,Terre Haute MSA,00,000,45460,2027,3.157903686463,STEM
AgriNovus,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2021,110.9610417649128,STEM
Conexus,United States,0,000,00000,2021,2118965.2459119856,STEM
TechPoint,Fort Wayne MSA,00,000,23060,2021,2127.1451061377134,STEM
Health,Chicago-Naperville-Elgin MSA,00,000,16980,2019,5710.350517467696,STEM
Health,Columbus MSA,00,000,18020,2028,3914.259973565375,Non-STEM
BioCrossroads,Elkhart-Goshen MSA,00,000,21140,2022,384.0774930139387,Non-STEM
BioCrossroads,Chicago-Naperville-Elgin MSA,00,000,16980,2021,63088.11453201109,Non-STEM
AgriNovus,Kokomo MSA,00,000,29020,2023,0.103968978304,STEM
TechPoint,Lafayette-West Lafayette MSA,00,000,29200,2025,696.7957648992917,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2028,4810.0729041056065,STEM
AgriNovus,Fort Wayne MSA,00,000,23060,2028,780.4493788824868,Non-STEM
Finance,Kokomo MSA,00,000,29020,2027,53.730062309963486,STEM
Finance,Columbus MSA,00,000,18020,2028,1045.3650511658727,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2023,3962.8347823939584,STEM
BioCrossroads,Chicago-Naperville-Elgin MSA,00,000,16980,2026,62983.70061715937,Non-STEM
Conexus,Fort Wayne MSA,00,000,23060,2025,56909.71376272445,Non-STEM
TechPoint,United States,0,000,00000,2022,2888746.317457077,STEM
BioCrossroads,Lafayette-West Lafayette MSA,00,000,29200,2021,1658.2010145345694,Non-STEM
Finance,United States,0,000,00000,2027,6289622.359347754,Non-STEM
AgriNovus,Terre Haute MSA,00,000,45460,2022,351.4850532821071,Non-STEM
Conexus,Elkhart-Goshen MSA,00,000,21140,2027,65970.38122559531,Non-STEM
TechPoint,Evansville MSA,00,000,21780,2028,1792.8726525174488,Non-STEM
Finance,Chicago-Naperville-Elgin MSA,00,000,16980,2024,212231.58508135998,Non-STEM
AgriNovus,Elkhart-Goshen MSA,00,000,21140,2028,388.09249943679487,Non-STEM
AgriNovus,Columbus MSA,00,000,18020,2022,32.10081592080298,Non-STEM
AgriNovus,Michigan City-La Porte MSA,00,000,33140,2028,0.925612341413539,STEM
AgriNovus,Lafayette-West Lafayette MSA,00,000,29200,2026,17.5180956462603,STEM
AgriNovus,Lafayette-West Lafayette MSA,00,000,29200,2022,13.3710892186556,STEM
Conexus,Muncie MSA,00,000,34620,2026,363.16987795341254,STEM
Conexus,Bloomington MSA,00,000,14020,2025,11794.973853887468,Non-STEM
Conexus,Cincinnati MSA,00,000,17140,2021,213306.05842626505,Non-STEM
Conexus,Michigan City-La Porte MSA,00,000,33140,2023,717.4480076214611,STEM
TechPoint,Michigan City-La Porte MSA,00,000,33140,2024,307.7009288709597,Non-STEM
AgriNovus,Elkhart-Goshen MSA,00,000,21140,2025,13.6057369461099,STEM
AgriNovus,Indiana,18,000,00000,2027,13686.463364480427,Non-STEM
Conexus,Michigan City-La Porte MSA,00,000,33140,2027,789.554265245688,STEM
Conexus,Elkhart-Goshen MSA,00,000,21140,2026,66807.6468181217,Non-STEM
Health,Evansville MSA,00,000,21780,2027,20074.51714449915,Non-STEM
AgriNovus,Bloomington MSA,00,000,14020,2022,73.14618291021701,Non-STEM
Finance,Kokomo MSA,00,000,29020,2023,839.8812488136598,Non-STEM
AgriNovus,South Bend-Mishawaka MSA,00,000,43780,2028,112.88686704205479,Non-STEM
TechPoint,Kokomo MSA,00,000,29020,2027,176.58661343849786,Non-STEM
AgriNovus,Indiana,18,000,00000,2019,13428.102574167146,Non-STEM
BioCrossroads,Chicago-Naperville-Elgin MSA,00,000,16980,2022,20382.92829889532,STEM
Finance,Elkhart-Goshen MSA,00,000,21140,2026,129.19870108532822,STEM
Health,Lafayette-West Lafayette MSA,00,000,29200,2026,10404.866688676439,Non-STEM
Conexus,Muncie MSA,00,000,34620,2023,362.18384210203635,STEM
TechPoint,Lafayette-West Lafayette MSA,00,000,29200,2021,640.2177814073056,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2028,176536.32064494328,STEM
BioCrossroads,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2020,6648.832612084182,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2025,1006455.9311818532,Non-STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2022,1044.2994740682245,STEM
BioCrossroads,Chicago-Naperville-Elgin MSA,00,000,16980,2028,63001.88033506492,Non-STEM
BioCrossroads,Terre Haute MSA,00,000,45460,2021,596.8123034004053,Non-STEM
AgriNovus,Columbus MSA,00,000,18020,2019,8.127206271164377,STEM
BioX,United States,0,000,00000,2022,924392.0295756983,STEM
TechPoint,Indiana,18,000,00000,2026,32932.47557189362,STEM
TechPoint,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2020,16032.7767958264,Non-STEM
Finance,Terre Haute MSA,00,000,45460,2020,1620.7765512017525,Non-STEM
Health,Elkhart-Goshen MSA,00,000,21140,2024,8580.633182039332,Non-STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2025,8319.156242851568,Non-STEM
TechPoint,Muncie MSA,00,000,34620,2021,581.2034633828713,STEM
TechPoint,Fort Wayne MSA,00,000,23060,2023,2122.4307973339205,STEM
TechPoint,Michigan City-La Porte MSA,00,000,33140,2023,324.29332971457995,Non-STEM
TechPoint,Terre Haute MSA,00,000,45460,2028,184.10960932094605,STEM
TechPoint,Muncie MSA,00,000,34620,2019,636.2598412155729,STEM
Health,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2024,129534.9022155535,Non-STEM
BioCrossroads,Terre Haute MSA,00,000,45460,2023,487.26203538576283,Non-STEM
AgriNovus,Evansville MSA,00,000,21780,2023,37.99095286747857,STEM
AgriNovus,Elkhart-Goshen MSA,00,000,21140,2021,9.9879337981082,STEM
Conexus,Bloomington MSA,00,000,14020,2020,10147.06924551049,Non-STEM
AgriNovus,Chicago-Naperville-Elgin MSA,00,000,16980,2021,232.59670603087145,STEM
Conexus,Indiana,18,000,00000,2022,819480.2445666873,Non-STEM
BioCrossroads,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2023,7287.510454655782,STEM
BioCrossroads,Columbus MSA,00,000,18020,2023,426.270502824332,Non-STEM
Conexus,South Bend-Mishawaka MSA,00,000,43780,2026,1643.7929700338448,STEM
Conexus,Lafayette-West Lafayette MSA,00,000,29200,2021,1828.4616105657562,STEM
AgriNovus,Kokomo MSA,00,000,29020,2026,101.20390342506899,Non-STEM
AgriNovus,Cincinnati MSA,00,000,17140,2023,1371.6711730824031,Non-STEM
Conexus,Louisville/Jefferson County MSA,00,000,31140,2023,9290.348123902248,STEM
TechPoint,Terre Haute MSA,00,000,45460,2022,156.87684101941937,STEM
Health,Elkhart-Goshen MSA,00,000,21140,2023,8505.707125531517,Non-STEM
AgriNovus,Evansville MSA,00,000,21780,2022,555.2033731147131,Non-STEM
Health,Kokomo MSA,00,000,29020,2019,81.36636401523641,STEM
BioCrossroads,Louisville/Jefferson County MSA,00,000,31140,2022,6251.808185182623,Non-STEM
Health,Michigan City-La Porte MSA,00,000,33140,2021,4314.259978260634,Non-STEM
BioCrossroads,Fort Wayne MSA,00,000,23060,2028,2136.7029236885724,Non-STEM
AgriNovus,United States,0,000,00000,2023,25657.496928815875,STEM
TechPoint,Michigan City-La Porte MSA,00,000,33140,2022,195.58826083466187,STEM
BioCrossroads,Bloomington MSA,00,000,14020,2027,7262.189026874106,Non-STEM
AgriNovus,Cincinnati MSA,00,000,17140,2027,139.5113472259853,STEM
Conexus,Evansville MSA,00,000,21780,2021,27678.096511622072,Non-STEM
Health,Evansville MSA,00,000,21780,2028,20148.065925796447,Non-STEM
AgriNovus,Indiana,18,000,00000,2021,13190.848117892656,Non-STEM
AgriNovus,Lafayette-West Lafayette MSA,00,000,29200,2024,534.5121004193658,Non-STEM
Conexus,Indiana,18,000,00000,2021,51666.104176596906,STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2027,15679.765873010465,Non-STEM
BioCrossroads,Louisville/Jefferson County MSA,00,000,31140,2024,1554.1625473692302,STEM
TechPoint,Michigan City-La Porte MSA,00,000,33140,2021,346.5808750219019,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2021,41347.34920053499,STEM
Finance,Evansville MSA,00,000,21780,2026,248.12215489677942,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2021,6962.184542456573,STEM
TechPoint,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2024,15004.498716012578,STEM
Finance,Cincinnati MSA,00,000,17140,2022,48901.06142224002,Non-STEM
AgriNovus,Kokomo MSA,00,000,29020,2022,0.140362658698,STEM
Health,Lafayette-West Lafayette MSA,00,000,29200,2022,118.24928470478,STEM
TechPoint,Indiana,18,000,00000,2024,30558.751769387505,STEM
Health,United States,0,000,00000,2028,17584746.8906305,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2021,1220607.3984951526,Non-STEM
Conexus,Muncie MSA,00,000,34620,2021,315.8093912136722,STEM
Conexus,Fort Wayne MSA,00,000,23060,2019,52745.48761850231,Non-STEM
Conexus,Columbus MSA,00,000,18020,2025,3837.9549212893594,STEM
Conexus,Michigan City-La Porte MSA,00,000,33140,2024,11299.443968261114,Non-STEM
TechPoint,South Bend-Mishawaka MSA,00,000,43780,2022,1831.3538358357937,Non-STEM
TechPoint,Michigan City-La Porte MSA,00,000,33140,2020,177.16488248509052,STEM
AgriNovus,Indiana,18,000,00000,2022,13743.982377848597,Non-STEM
Conexus,Lafayette-West Lafayette MSA,00,000,29200,2023,2084.930963913358,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2028,54395.26234040021,STEM
AgriNovus,Terre Haute MSA,00,000,45460,2021,5.456223952518,STEM
Finance,Elkhart-Goshen MSA,00,000,21140,2028,1745.7436039120553,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2027,3485.6008580929624,STEM
TechPoint,Elkhart-Goshen MSA,00,000,21140,2025,374.47593935620296,STEM
Finance,Lafayette-West Lafayette MSA,00,000,29200,2026,159.77669482537152,STEM
Finance,Bloomington MSA,00,000,14020,2020,1731.227280348375,Non-STEM
Health,Elkhart-Goshen MSA,00,000,21140,2027,96.5400917033829,STEM
Advanced and Traded Industries,United States,0,000,00000,2027,38385596.8567788,Non-STEM
TechPoint,Lafayette-West Lafayette MSA,00,000,29200,2026,714.9624657426466,Non-STEM
Finance,Muncie MSA,00,000,34620,2024,120.56091621741975,STEM
AgriNovus,South Bend-Mishawaka MSA,00,000,43780,2027,5.801659156430402,STEM
Finance,Chicago-Naperville-Elgin MSA,00,000,16980,2025,21633.404331674636,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2021,290510.8729313091,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2023,7427.271762930218,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2022,11345.076041244645,Non-STEM
AgriNovus,Indiana,18,000,00000,2022,583.5926276426525,STEM
TechPoint,Cincinnati MSA,00,000,17140,2028,14979.58608402158,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2022,860.3297732863409,STEM
BioCrossroads,Michigan City-La Porte MSA,00,000,33140,2027,35.47394212731778,STEM
Health,Chicago-Naperville-Elgin MSA,00,000,16980,2021,430474.7326130968,Non-STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2021,26228.86999072927,Non-STEM
AgriNovus,Terre Haute MSA,00,000,45460,2024,353.01290042846273,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2024,114364.755733982,STEM
BioCrossroads,Evansville MSA,00,000,21780,2019,390.123279959005,STEM
Conexus,Elkhart-Goshen MSA,00,000,21140,2025,2906.0766868923465,STEM
Finance,Elkhart-Goshen MSA,00,000,21140,2019,105.7428750637497,STEM
Conexus,Bloomington MSA,00,000,14020,2028,12246.463229942941,Non-STEM
Conexus,Bloomington MSA,00,000,14020,2019,10043.700073247253,Non-STEM
AgriNovus,Kokomo MSA,00,000,29020,2019,0.523238503752,STEM
Health,Muncie MSA,00,000,34620,2024,53.008587678901364,STEM
BioCrossroads,Lafayette-West Lafayette MSA,00,000,29200,2025,1968.7968226965822,Non-STEM
BioCrossroads,Fort Wayne MSA,00,000,23060,2027,2089.313789666298,Non-STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2020,32564.360628672734,Non-STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2024,28612.867260743915,Non-STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2022,3832.234573836854,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2022,3355.609121081774,STEM
Conexus,Evansville MSA,00,000,21780,2026,28741.684009058026,Non-STEM
BioCrossroads,Bloomington MSA,00,000,14020,2020,5872.144384731514,Non-STEM
Conexus,Cincinnati MSA,00,000,17140,2020,203213.30867164402,Non-STEM
Health,Indiana,18,000,00000,2027,380197.66214800405,Non-STEM
Health,Michigan City-La Porte MSA,00,000,33140,2020,35.832628049790586,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2019,1240583.325628233,Non-STEM
TechPoint,Chicago-Naperville-Elgin MSA,00,000,16980,2023,59689.91464451871,STEM
Finance,United States,0,000,00000,2021,5990959.694690966,Non-STEM
BioCrossroads,Lafayette-West Lafayette MSA,00,000,29200,2027,2061.087062365104,Non-STEM
BioCrossroads,Elkhart-Goshen MSA,00,000,21140,2026,191.85714241076337,STEM
Conexus,Bloomington MSA,00,000,14020,2025,2118.2131259403445,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2028,334443.10518741043,Non-STEM
BioCrossroads,Cincinnati MSA,00,000,17140,2019,4618.819591615585,STEM
TechPoint,United States,0,000,00000,2027,3372894.102147755,Non-STEM
BioCrossroads,Louisville/Jefferson County MSA,00,000,31140,2019,1232.9404159818437,STEM
Finance,Columbus MSA,00,000,18020,2024,89.21519326574888,STEM
Health,United States,0,000,00000,2020,14708880.73227942,Non-STEM
Finance,Muncie MSA,00,000,34620,2020,1494.3566539492685,Non-STEM
Health,Lafayette-West Lafayette MSA,00,000,29200,2027,96.8129805418267,STEM
BioCrossroads,Terre Haute MSA,00,000,45460,2025,455.78519755310015,Non-STEM
Health,Cincinnati MSA,00,000,17140,2020,1793.3183537728144,STEM
Advanced and Traded Industries,United States,0,000,00000,2022,36555326.86566759,Non-STEM
Conexus,Columbus MSA,00,000,18020,2020,17088.642574534926,Non-STEM
BioCrossroads,Michigan City-La Porte MSA,00,000,33140,2024,34.32926562155371,STEM
BioCrossroads,Bloomington MSA,00,000,14020,2022,8254.763917872893,Non-STEM
BioX,United States,0,000,00000,2019,1611555.0469887338,Non-STEM
TechPoint,Kokomo MSA,00,000,29020,2019,81.1300934398015,STEM
Health,Terre Haute MSA,00,000,45460,2022,8378.78422638572,Non-STEM
Health,United States,0,000,00000,2020,180397.21107866688,STEM
BioCrossroads,Terre Haute MSA,00,000,45460,2023,97.82350747529897,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2019,1193.8187686522413,STEM
Conexus,Indiana,18,000,00000,2020,744536.9996587872,Non-STEM
Conexus,Lafayette-West Lafayette MSA,00,000,29200,2024,25490.033983220088,Non-STEM
Finance,Columbus MSA,00,000,18020,2024,1024.2672246130578,Non-STEM
Conexus,Chicago-Naperville-Elgin MSA,00,000,16980,2023,892650.0219286266,Non-STEM
Conexus,Columbus MSA,00,000,18020,2027,3863.33354222951,STEM
BioCrossroads,South Bend-Mishawaka MSA,00,000,43780,2023,399.7866664025072,STEM
Conexus,Fort Wayne MSA,00,000,23060,2028,58147.6548852684,Non-STEM
Conexus,Terre Haute MSA,00,000,45460,2023,775.4943569266371,STEM
Conexus,Fort Wayne MSA,00,000,23060,2024,56092.38581055882,Non-STEM
Conexus,Kokomo MSA,00,000,29020,2024,607.7612729089774,STEM
Conexus,Bloomington MSA,00,000,14020,2028,2268.16242106885,STEM
Finance,Elkhart-Goshen MSA,00,000,21140,2020,120.50795207406267,STEM
BioCrossroads,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2025,8009.239263530331,STEM
BioCrossroads,South Bend-Mishawaka MSA,00,000,43780,2024,364.7263657209055,STEM
TechPoint,Muncie MSA,00,000,34620,2027,496.78279063995717,STEM
TechPoint,Bloomington MSA,00,000,14020,2021,532.4905705433389,STEM
Health,Chicago-Naperville-Elgin MSA,00,000,16980,2027,495358.92138231517,Non-STEM
Health,Cincinnati MSA,00,000,17140,2025,131590.7204936042,Non-STEM
Health,Kokomo MSA,00,000,29020,2025,4142.077053741434,Non-STEM
AgriNovus,Kokomo MSA,00,000,29020,2021,0.204787877856,STEM
Finance,Terre Haute MSA,00,000,45460,2026,1434.7411838968071,Non-STEM
Health,Muncie MSA,00,000,34620,2028,7820.449336338053,Non-STEM
BioCrossroads,Cincinnati MSA,00,000,17140,2028,6185.682077779862,STEM
AgriNovus,Bloomington MSA,00,000,14020,2024,0.48573488788499997,STEM
AgriNovus,Bloomington MSA,00,000,14020,2021,0.0,STEM
TechPoint,Lafayette-West Lafayette MSA,00,000,29200,2022,717.2320195709489,STEM
Finance,Evansville MSA,00,000,21780,2028,260.40202847714187,STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2021,21648.161280484415,STEM
Finance,Bloomington MSA,00,000,14020,2028,1500.2736613095285,Non-STEM
Health,South Bend-Mishawaka MSA,00,000,43780,2028,19606.506973340143,Non-STEM
TechPoint,Michigan City-La Porte MSA,00,000,33140,2027,133.48434470905346,STEM
Finance,Bloomington MSA,00,000,14020,2027,155.84677606489646,STEM
Health,Chicago-Naperville-Elgin MSA,00,000,16980,2025,6615.126465009258,STEM
BioCrossroads,Louisville/Jefferson County MSA,00,000,31140,2028,5597.645603806154,Non-STEM
Health,Evansville MSA,00,000,21780,2019,19826.45874050485,Non-STEM
Conexus,Kokomo MSA,00,000,29020,2022,583.3089019753127,STEM
Health,Indiana,18,000,00000,2024,361693.56175217516,Non-STEM
BioCrossroads,Lafayette-West Lafayette MSA,00,000,29200,2022,718.2726893940365,STEM
TechPoint,Chicago-Naperville-Elgin MSA,00,000,16980,2020,81527.39011013547,Non-STEM
Health,Cincinnati MSA,00,000,17140,2024,129675.96610685193,Non-STEM
BioCrossroads,Lafayette-West Lafayette MSA,00,000,29200,2028,2093.4171133949517,Non-STEM
AgriNovus,Louisville/Jefferson County MSA,00,000,31140,2028,1506.3459520413662,Non-STEM
TechPoint,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2022,17547.91375380764,Non-STEM
TechPoint,Terre Haute MSA,00,000,45460,2022,387.1673172694118,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2028,37376.07271826091,Non-STEM
AgriNovus,Kokomo MSA,00,000,29020,2027,0.0512760301387,STEM
Conexus,Muncie MSA,00,000,34620,2023,6027.780855943374,Non-STEM
BioCrossroads,Evansville MSA,00,000,21780,2027,472.1407722204609,STEM
Conexus,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2021,15362.732803560219,STEM
Conexus,Indiana,18,000,00000,2023,57299.058021283694,STEM
TechPoint,Bloomington MSA,00,000,14020,2026,511.4898715937366,STEM
Finance,Kokomo MSA,00,000,29020,2021,902.757771315334,Non-STEM
Finance,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2022,48604.43630287108,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2028,15123.523647688762,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2025,14604.29608806681,Non-STEM
