display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,jobs
2,1,Ag/Bio,,,00,000,21780,Evansville MSA,2019,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,33140,Michigan City-La Porte MSA,2025,325412,Pharmaceutical Preparation Manufacturing,2,2,0.0
2,6,Bio-Logistics,,,00,000,18020,Columbus MSA,2026,424910,Farm Supplies Merchant Wholesalers,2,2,25.4032275192512
2,2,Pharma,,,18,000,00000,Indiana,2021,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,3050.71631645
2,4,Research/Testing,,,00,000,45460,Terre Haute MSA,2022,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",2,2,7.61300782423443
1,1,Ag/Bio,,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,1,1,0.724680460075
2,6,Bio-Logistics,,,00,000,21140,Elkhart-Goshen MSA,2028,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,32.4961010341188
2,3,MedDev,,,00,000,31140,Louisville/Jefferson County MSA,2019,334517,Irradiation Apparatus Manufacturing,2,2,0.0
1,1,Ag/Bio,,,00,000,21780,Evansville MSA,2020,000000,,1,1,183.05268523203202
2,2,Pharma,,,00,000,23060,Fort Wayne MSA,2023,325411,Medicinal and Botanical Manufacturing,2,2,0.0
2,3,MedDev,,,00,000,21140,Elkhart-Goshen MSA,2028,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2,2,0.0
1,4,Research/Testing,,,00,000,18020,Columbus MSA,2021,000000,,1,1,68.9197066982823
2,6,Bio-Logistics,,,00,000,45460,Terre Haute MSA,2023,424910,Farm Supplies Merchant Wholesalers,2,2,92.46710269113599
2,3,MedDev,,,00,000,16980,Chicago-Naperville-Elgin MSA,2027,339113,Surgical Appliance and Supplies Manufacturing,2,2,1073.56158076
2,1,Ag/Bio,,,00,000,21780,Evansville MSA,2021,325314,Fertilizer (Mixing Only) Manufacturing,2,2,0.0
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,385.3612509244542
2,4,Research/Testing,,,00,000,14020,Bloomington MSA,2026,541380,Testing Laboratories and Services,2,2,0.9015904937184
2,3,MedDev,,,00,000,18020,Columbus MSA,2019,334517,Irradiation Apparatus Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,325414,Biological Product (except Diagnostic) Manufacturing,2,2,169.818920522
2,1,Ag/Bio,,,00,000,34620,Muncie MSA,2027,325315,Compost Manufacturing,2,2,0.0
1,3,MedDev,,,00,000,29020,Kokomo MSA,2022,000000,,1,1,0.0
2,3,MedDev,,,00,000,31140,Louisville/Jefferson County MSA,2019,339112,Surgical and Medical Instrument Manufacturing,2,2,307.865596505
1,3,MedDev,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,1,1,2363.4628168881
2,3,MedDev,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,334516,Analytical Laboratory Instrument Manufacturing,2,2,32.7322941526
2,1,Ag/Bio,,,00,000,33140,Michigan City-La Porte MSA,2019,325315,Compost Manufacturing,2,2,0.0
1,6,Bio-Logistics,,,18,000,00000,Indiana,2022,000000,,1,1,14263.86801475742
2,1,Ag/Bio,,,00,000,43780,South Bend-Mishawaka MSA,2020,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2,2,0.0
2,3,MedDev,,,00,000,14020,Bloomington MSA,2019,339114,Dental Equipment and Supplies Manufacturing,2,2,0.0
1,6,Bio-Logistics,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,1,1,249.40977971440725
2,3,MedDev,,,00,000,45460,Terre Haute MSA,2023,334517,Irradiation Apparatus Manufacturing,2,2,0.0
1,4,Research/Testing,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,1,1,71.1954932857647
2,6,Bio-Logistics,,,18,000,00000,Indiana,2025,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,8571.319022947198
2,4,Research/Testing,,,00,000,23060,Fort Wayne MSA,2020,541713,Research and Development in Nanotechnology,2,2,0.0
1,6,Bio-Logistics,,,00,000,14020,Bloomington MSA,2021,000000,,1,1,347.485143054239
2,3,MedDev,,,00,000,18020,Columbus MSA,2027,339114,Dental Equipment and Supplies Manufacturing,2,2,7.19690788375
0,0,Life Sciences Total,,,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,0,0,1782.4003226466025
2,1,Ag/Bio,,,00,000,33140,Michigan City-La Porte MSA,2027,325315,Compost Manufacturing,2,2,0.0
2,3,MedDev,,,00,000,14020,Bloomington MSA,2021,339112,Surgical and Medical Instrument Manufacturing,2,2,5419.83938126
2,2,Pharma,,,00,000,33140,Michigan City-La Porte MSA,2025,325411,Medicinal and Botanical Manufacturing,2,2,0.0
2,4,Research/Testing,,,00,000,23060,Fort Wayne MSA,2026,541714,Research and Development in Biotechnology (except Nanobiotechnology),2,2,3.92832100185
2,1,Ag/Bio,,,00,000,14020,Bloomington MSA,2027,325315,Compost Manufacturing,2,2,0.0
