year,NAICS,occ
2026,334517,19-1041
2021,334517,27-4021
2021,517121,19-4031
2026,334310,49-9069
2027,334412,29-1161
2024,513130,43-5053
2026,334220,33-9099
2023,334515,33-3041
2027,334515,53-7021
2024,334515,19-3041
2020,334310,49-3051
2025,334290,43-4061
2026,334519,47-2141
2024,517410,13-2041
2019,518210,21-1094
2021,517121,29-9092
2019,334310,51-9161
2020,517410,45-4023
2024,334112,27-2011
2024,334310,53-3054
2019,513199,21-2021
2024,517121,51-9011
2021,334310,27-1026
2025,334512,19-4031
2020,334511,99-9999
2020,334519,43-5031
2025,334290,17-2021
2028,334519,25-9045
2027,334510,17-3027
2020,334511,23-1022
2023,517112,45-3031
2025,518210,51-5112
2019,334610,19-2011
2027,334516,11-3061
2025,334419,53-7073
2025,334310,53-1047
2019,517111,43-3031
2021,513130,43-3021
2023,517121,51-3092
2024,541512,41-2021
2027,334310,51-9022
2020,517112,49-9094
2021,334514,51-6064
2024,334111,47-3011
2028,334514,47-3012
2023,513120,49-2011
2022,334310,25-3041
2021,334112,19-4044
2027,334515,29-1215
2019,811210,47-3011
2019,541513,11-9072
2020,334515,23-2099
2021,541512,19-4051
2023,541519,11-9141
2021,541511,23-1021
2023,517121,35-1012
2025,517121,11-9071
2020,334210,51-6041
2021,334413,29-9091
2021,334290,53-3099
2025,334512,37-2021
2027,518210,51-7042
2027,334118,19-1029
2027,334419,51-4034
2019,334515,47-2171
2025,333242,33-3052
2020,334416,17-1022
2023,517410,21-1023
2019,334417,23-2093
2027,513110,29-1224
2020,517121,29-1291
2027,334510,51-9031
2027,517111,19-3093
2022,811210,47-2181
2021,334118,45-2041
2019,611420,29-2055
2023,611420,29-1126
2028,517121,51-9161
2024,334516,49-2022
2025,334416,39-2021
2026,513120,21-2099
2022,811210,25-4013
2023,334118,47-2161
2028,517111,29-2053
2026,334519,51-2061
2021,334610,51-9197
2028,334514,31-9097
2028,334513,29-1125
2024,334517,25-2031
2020,334210,51-8012
2021,517810,19-1029
2024,334510,13-2011
2026,334512,47-2021
2025,333242,13-2099
2019,334516,29-1181
2026,334511,19-1029
2025,423430,25-2059
2019,334418,51-9082
2027,334514,41-2022
2019,513130,19-5011
2027,334517,41-9011
2021,541513,43-5032
2027,513120,29-1221
2028,334517,17-2199
2028,334519,47-2051
2021,517410,51-4033
2022,517810,29-1216
2027,334510,43-9031
