year,statefips,metrofips,geo_area,cicp_initiative,females,males
2021,00,21780,Evansville MSA,AgriNovus,5683.311641566393,13290.421995034063
2024,00,23060,Fort Wayne MSA,BioCrossroads,2291.269951883119,4051.0414446264317
2020,00,31140,Louisville/Jefferson County MSA,BioCrossroads,9258.500406958403,9432.106871954264
2023,00,31140,Louisville/Jefferson County MSA,BioCrossroads,9186.236236499617,9332.73757809025
2021,00,33140,Michigan City-La Porte MSA,TechPoint,792.5545686361801,779.133456304914
2020,00,34620,Muncie MSA,TechPoint,1538.43132434112,1750.5196664505
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,97418.38062588482,61408.79610712544
2024,00,21780,Evansville MSA,Advanced and Traded Industries,42435.04877642907,78958.36225276896
2020,00,43780,South Bend-Mishawaka MSA,BioCrossroads,2798.3128865091867,2548.888081433498
2023,00,29200,Lafayette-West Lafayette MSA,TechPoint,1404.5785231895816,2898.0567185914406
2024,00,17140,Cincinnati MSA,TechPoint,25800.261635574083,54728.07442953739
2021,00,45460,Terre Haute MSA,Finance,3528.4804381183562,1413.2437653554193
2024,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,14366.586700684158,25955.274908826465
2022,00,17140,Cincinnati MSA,AgriNovus,39100.34294566288,80790.69163853672
2021,00,31140,Louisville/Jefferson County MSA,AgriNovus,23924.100382701563,51923.95257085928
2022,00,21140,Elkhart-Goshen MSA,BioCrossroads,635.1291672425148,641.259388166919
2020,00,23060,Fort Wayne MSA,Conexus,58453.556938798865,150394.0296853383
2022,00,43780,South Bend-Mishawaka MSA,Conexus,29371.37131860257,72087.7153437337
2023,00,23060,Fort Wayne MSA,Conexus,69180.23774466594,168460.47997287632
2022,00,17140,Cincinnati MSA,TechPoint,27541.23470007268,57113.33777952238
2022,00,43780,South Bend-Mishawaka MSA,Finance,8461.868968873017,4386.905993586513
2023,00,17140,Cincinnati MSA,Finance,90583.90370835696,67117.85900283595
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Healthcare,275708.70298101596,68952.8699671518
2022,00,14020,Bloomington MSA,Healthcare,18631.85191886592,4661.475209945128
2020,00,34620,Muncie MSA,Healthcare,17527.167278356766,4543.668030946039
2020,00,17140,Cincinnati MSA,AgriNovus,35616.91654629761,75587.04910998845
2023,00,18020,Columbus MSA,Conexus,26049.262391188884,62232.01702221897
2023,00,21140,Elkhart-Goshen MSA,Conexus,93519.8924034734,208292.29704954135
2020,00,29020,Kokomo MSA,Conexus,12418.84259878276,37254.85059760018
2024,00,34620,Muncie MSA,Healthcare,18454.41654038382,4452.679722563432
2022,0,00000,United States,Advanced and Traded Industries,49632900.609650135,78566147.97336572
2021,00,18020,Columbus MSA,AgriNovus,1078.44182381936,2090.197097362743
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,29785.25634036386,66515.30014704786
2022,00,29200,Lafayette-West Lafayette MSA,AgriNovus,6355.376160097837,14739.30745620911
2020,00,23060,Fort Wayne MSA,BioCrossroads,1814.2045154601346,3337.4903150816444
2020,00,21140,Elkhart-Goshen MSA,BioCrossroads,789.7493648238571,911.6006205039747
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,292890.83633829816,604317.1908002882
2022,00,14020,Bloomington MSA,Conexus,26191.27294989846,33954.680382523424
2021,00,34620,Muncie MSA,TechPoint,1490.777178583944,1708.03095647856
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,90697.76586381294,58849.45809112378
2020,00,16980,Chicago-Naperville-Elgin MSA,Finance,383270.8396629613,335537.3685267417
2023,00,29020,Kokomo MSA,Finance,1839.4321612193219,829.330604177577
2023,00,18020,Columbus MSA,Healthcare,8524.614350454434,1553.315841214458
