statefips,countyfips,place,year,age,attainment_rate
35,000,New Mexico,2024,25-34,37.351000
05,000,Arkansas,2010,25-34,30.349600
15,000,Hawaii,2012,25-34,40.758500
35,000,New Mexico,2019,25-34,35.444800
53,000,Washington,2011,25-34,42.053700
21,000,Kentucky,2021,25-34,41.193900
44,000,Rhode Island,2017,25-34,43.981700
0,000,United States,2022,25-34,48.558500
54,000,West Virginia,2023,25-34,36.333500
16,000,Idaho,2021,25-34,40.763200
44,000,Rhode Island,2023,25-34,51.392800
25,000,Massachusetts,2022,25-34,63.185400
53,000,Washington,2017,25-34,48.140400
26,000,Michigan,2019,25-34,43.034100
37,000,North Carolina,2014,25-34,40.829900
16,000,Idaho,2012,25-34,34.956200
49,000,Utah,2024,25-34,49.818200
51,000,Virginia,2010,25-34,44.827300
28,000,Mississippi,2013,25-34,31.119500
20,000,Kansas,2018,25-34,48.964400
12,000,Florida,2022,25-34,47.685100
32,000,Nevada,2022,25-34,33.080100
48,000,Texas,2019,25-34,40.799300
22,000,Louisiana,2023,25-34,37.074800
02,000,Alaska,2018,25-34,35.102100
29,000,Missouri,2021,25-34,45.851700
13,000,Georgia,2018,25-34,40.984900
24,000,Maryland,2022,25-34,53.493600
