statefips,metrofips,geo_area,cicp_initiative,sector,Year,jobs,wages
00,18020,Columbus MSA,BioCrossroads,Total,2020,362.6546729719107,84231.92005003511
18,00000,Indiana,BioCrossroads,Total,2019,62316.873103897655,
0,00000,United States,Finance,Total,2020,6494506.852380239,138366.45179025666
00,31140,Louisville/Jefferson County MSA,Finance,Total,2020,40674.309477380055,108144.40287841742
00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,Total,2022,53076.23353974406,114277.58010619893
00,43780,South Bend-Mishawaka MSA,AgriNovus,Total,2021,2424.7267704316723,57825.96894894745
00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,Total,2019,24104.90714455138,
00,31140,Louisville/Jefferson County MSA,BioCrossroads,Total,2021,6381.966117091915,109604.01892513515
00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,Total,2022,29482.755850976853,172102.28325353467
00,31140,Louisville/Jefferson County MSA,TechPoint,Total,2022,18729.69445688492,109282.66099631974
0,00000,United States,TechPoint,Total,2021,5767219.51489357,179305.63050739365
00,29020,Kokomo MSA,Advanced and Traded Industries,Total,2022,12120.573312675533,108299.60058628346
00,23060,Fort Wayne MSA,Advanced and Traded Industries,Total,2022,75840.88899230772,85277.49227623547
18,00000,Indiana,Advanced and Traded Industries,Total,2023,1111021.1801990152,94587.06062463432
00,17140,Cincinnati MSA,Advanced and Traded Industries,Total,2020,353933.78285643517,103094.31906532266
00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,Total,2021,51702.41703006372,112727.67668335908
00,23060,Fort Wayne MSA,Healthcare,Total,2022,31813.544047666303,84642.2015244263
00,21140,Elkhart-Goshen MSA,Conexus,Total,2023,75453.04736322201,76576.20378347309
00,14020,Bloomington MSA,Conexus,Total,2020,11809.810396022342,73683.81973037898
00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,Total,2022,224302.006784626,92801.37495358844
00,16980,Chicago-Naperville-Elgin MSA,Conexus,Total,2019,806545.9299913838,
00,21780,Evansville MSA,TechPoint,Total,2019,1904.541904731954,
00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,Total,2020,51841.929456493475,104686.65148792048
00,29020,Kokomo MSA,Finance,Total,2019,919.37940104587,
00,45460,Terre Haute MSA,Finance,Total,2019,1789.1757048182797,
00,17140,Cincinnati MSA,Healthcare,Total,2023,128398.8779534125,88111.65127918788
00,21780,Evansville MSA,AgriNovus,Total,2021,4743.43340914949,79427.38807547132
00,16980,Chicago-Naperville-Elgin MSA,Conexus,Total,2021,792081.2377985365,100962.50710130729
00,18020,Columbus MSA,Conexus,Total,2020,20833.98696006416,94598.78178333068
00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,Total,2022,30927.989673497257,85580.955891346
00,21780,Evansville MSA,Finance,Total,2020,3494.0064702858976,88377.04317161684
00,21780,Evansville MSA,Finance,Total,2023,3976.268820660477,95140.52958011799
00,31140,Louisville/Jefferson County MSA,Conexus,Total,2020,164435.534258631,80121.8339721154
00,23060,Fort Wayne MSA,Conexus,Total,2023,59410.1794293934,82574.75427232528
18,00000,Indiana,Conexus,Total,2022,842944.1826957259,86774.06225418246
0,00000,United States,TechPoint,Total,2022,6149727.272138399,174786.52827988294
00,21780,Evansville MSA,TechPoint,Total,2020,2222.64303066653,93175.7696435163
00,18020,Columbus MSA,Advanced and Traded Industries,Total,2022,24824.468928608367,108152.8381558635
00,34620,Muncie MSA,Advanced and Traded Industries,Total,2023,9444.452885087092,78912.3422252633
00,34620,Muncie MSA,Healthcare,Total,2021,7338.14380906962,77917.58801818384
00,29020,Kokomo MSA,AgriNovus,Total,2023,632.3739622719498,75744.73538586029
00,29200,Lafayette-West Lafayette MSA,BioCrossroads,Total,2020,2177.5130305654675,110188.40649140583
18,00000,Indiana,Conexus,Total,2019,807524.9600794715,
00,33140,Michigan City-La Porte MSA,TechPoint,Total,2021,523.8960083147479,148022.1347071205
00,33140,Michigan City-La Porte MSA,Finance,Total,2023,871.1169374582862,88616.80159941535
00,34620,Muncie MSA,Finance,Total,2022,1362.809463369787,73650.67243777307
00,18020,Columbus MSA,AgriNovus,Total,2020,865.2401015573001,58996.5650809476
00,21140,Elkhart-Goshen MSA,AgriNovus,Total,2021,2283.2525889187796,62381.77708189371
0,00000,United States,BioCrossroads,Total,2021,2355329.7924923324,152565.54271725198
00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,Total,2021,27790.066310218597,173285.67198889382
00,21140,Elkhart-Goshen MSA,BioCrossroads,Total,2019,512.957432202396,
00,43780,South Bend-Mishawaka MSA,TechPoint,Total,2021,2318.903797095868,86404.77669485378
00,34620,Muncie MSA,TechPoint,Total,2021,1066.26937835393,81888.08359968108
00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,Total,2020,76053.66110295712,75294.52618526074
00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,Total,2022,12945.918406350784,74379.6768200556
00,26900,Indianapolis-Carmel-Greenwood MSA,Healthcare,Total,2019,117738.37742430101,
18,00000,Indiana,AgriNovus,Total,2020,95673.19086637176,63575.99358657063
00,45460,Terre Haute MSA,AgriNovus,Total,2023,1723.585664693002,67634.18959078372
00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,Total,2023,75894.15035294712,191032.0743608075
00,31140,Louisville/Jefferson County MSA,Conexus,Total,2021,169895.78303996942,82931.08839191192
0,00000,United States,TechPoint,Total,2019,5553583.06948921,
00,17140,Cincinnati MSA,Advanced and Traded Industries,Total,2021,365210.2286270165,105955.94053482605
00,21140,Elkhart-Goshen MSA,AgriNovus,Total,2019,2512.7750742735984,
00,17140,Cincinnati MSA,BioCrossroads,Total,2019,12060.787964864436,
00,29020,Kokomo MSA,Conexus,Total,2019,12828.38601302244,
00,31140,Louisville/Jefferson County MSA,Conexus,Total,2019,167240.74837002862,
00,23060,Fort Wayne MSA,TechPoint,Total,2021,5867.7535325478075,99441.03966386007
18,00000,Indiana,TechPoint,Total,2023,71244.72769906241,122757.52499261264
00,16980,Chicago-Naperville-Elgin MSA,TechPoint,Total,2019,148541.90019412895,
00,45460,Terre Haute MSA,Advanced and Traded Industries,Total,2019,16140.60971349153,
00,43780,South Bend-Mishawaka MSA,Finance,Total,2020,4173.606232230323,94522.60222923846
00,33140,Michigan City-La Porte MSA,Healthcare,Total,2022,4374.501449345279,76043.64193478334
00,34620,Muncie MSA,Healthcare,Total,2022,7446.281847645357,83338.98338669408
00,31140,Louisville/Jefferson County MSA,AgriNovus,Total,2019,18577.283536300696,
