sector,sector_name,naics_version,naics_code,naics_title,compTia_reportYear
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334413,  Semiconductors and related device mfg.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334413,Semiconductor and Related Device Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334413,Semiconductor and Related Device Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334416,"  Capacitor, resistor, and inductor mfg.",2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334417,  Electronic connector manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334417,Electronic Connector Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334417,Electronic Connector Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334418,  Printed circuit assembly manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334419,  Other electronic component manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334419,Other Electronic Component Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334419,Other Electronic Component Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334510,  Electromedical apparatus manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334511,"  Search, detection, and navigation instruments",2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334512,  Automatic environmental control manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334513,  Industrial process variable instruments,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334514,Totalizing Fluid Meter and Counting Device Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334514,  Totalizing fluid meters and counting devices,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334514,Totalizing Fluid Meter and Counting Device Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334515,  Electricity and signal testing instruments,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334516,Analytical Laboratory Instrument Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334516,  Analytical laboratory instrument mfg.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334516,Analytical Laboratory Instrument Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334517,  Irradiation apparatus manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334517,Irradiation Apparatus Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334517,Irradiation Apparatus Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334519,Other Measuring and Controlling Device Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334519,  Other measuring and controlling device mfg.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334519,Other Measuring and Controlling Device Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334610,Manufacturing and Reproducing Magnetic and Optical Media ,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334610,Manufacturing and Reproducing Magnetic and Optical Media ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334610,Manufacturing and Reproducing Magnetic and Optical Media,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,336414,  Guided missile and space vehicle mfg.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,336415,  Space vehicle propulsion units and parts mfg.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,336419,  Other guided missile and space vehicle parts,2021
1,IT/Tech Services,2022,423430,  Computer and software merchant wholesalers,2021
1,IT/Tech Services,2022,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2023
1,IT/Tech Services,2022,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,2025
2,"Telecommunications, Internet Services and Data Hosting",2022,513110,Newspaper Publishers ,2023
2,"Telecommunications, Internet Services and Data Hosting",2022,513110,Newspaper Publishers ,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,513120,Periodical Publishers ,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,513120,Periodical Publishers ,2023
2,"Telecommunications, Internet Services and Data Hosting",2022,513130,Book Publishers ,2023
