cicp_initiative,sector,sector_name,Year,statefips,metrofips,geo_area,entry_level_ed,jobs
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,"Some college, no degree",31189.374030470153
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,Associate's degree,7676.832275744758
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,Bachelor's degree,109970.57092787458
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,Doctoral or professional degree,1998.2852682653092
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,High school diploma or equivalent,178130.78504787167
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,Master's degree,834.3516120529126
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,No formal educational credential,37234.720678599755
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,Postsecondary nondegree award,15109.705546283169
Advanced and Traded Industries,0,,2019,00,17140,Cincinnati MSA,"Some college, no degree",9758.140098783855
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,Associate's degree,857.6907891557787
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,Bachelor's degree,7482.376941538529
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,Doctoral or professional degree,47.513677970204604
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,High school diploma or equivalent,14522.247303172408
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,Master's degree,19.457658628740532
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,No formal educational credential,1790.4347407582327
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,Postsecondary nondegree award,978.2892279083803
Advanced and Traded Industries,0,,2019,00,18020,Columbus MSA,"Some college, no degree",377.2869647972246
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,Associate's degree,778.9638318673167
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,Bachelor's degree,8565.62980205041
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,Doctoral or professional degree,99.28252177680402
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,High school diploma or equivalent,61695.049526615825
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,Master's degree,17.648546788228593
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,No formal educational credential,6632.162639431683
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,Postsecondary nondegree award,2101.415990891575
Advanced and Traded Industries,0,,2019,00,21140,Elkhart-Goshen MSA,"Some college, no degree",928.9796272940587
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,Associate's degree,868.0743764724738
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,Bachelor's degree,8008.402223131245
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,Doctoral or professional degree,179.81910354815207
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,High school diploma or equivalent,22578.48147889727
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,Master's degree,24.618131226218658
