sector,sector_name,subsector,subsector_name,naics_code,naics_title,naics_version,group_by,group_by_title,level
1,Manufacturing,1.0,Agbiosciences Manufacturing,333111,Farm Machinery and Equipment Manufacturing,2022,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",2
1,Manufacturing,1.0,Agbiosciences Manufacturing,333241,Food Product Machinery Manufacturing,2022,3332,Industrial Machinery Manufacturing,2
1,Manufacturing,2.0,Aircraft/Aerospace Manufacturing,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",2022,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",2
1,Manufacturing,2.0,Aircraft/Aerospace Manufacturing,336411,Aircraft Manufacturing,2022,3364,Aerospace Product and Parts Manufacturing,2
1,Manufacturing,2.0,Aircraft/Aerospace Manufacturing,336412,Aircraft Engine and Engine Parts Manufacturing,2022,3364,Aerospace Product and Parts Manufacturing,2
1,Manufacturing,2.0,Aircraft/Aerospace Manufacturing,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,2022,3364,Aerospace Product and Parts Manufacturing,2
1,Manufacturing,2.0,Aircraft/Aerospace Manufacturing,336414,Guided Missile and Space Vehicle Manufacturing,2022,3364,Aerospace Product and Parts Manufacturing,2
1,Manufacturing,2.0,Aircraft/Aerospace Manufacturing,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,2022,3364,Aerospace Product and Parts Manufacturing,2
1,Manufacturing,2.0,Aircraft/Aerospace Manufacturing,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,2022,3364,Aerospace Product and Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,327215,Glass Product Manufacturing Made of Purchased Glass,2022,3272,Glass and Glass Product Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,333618,Other Engine Equipment Manufacturing,2022,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336110,Automobile and Light Duty Motor Vehicle Manufacturing,2022,3361,Motor Vehicle Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336120,Heavy Duty Truck Manufacturing,2022,3361,Motor Vehicle Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336211,Motor Vehicle Body Manufacturing,2022,3362,Motor Vehicle Body and Trailer Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336212,Truck Trailer Manufacturing,2022,3362,Motor Vehicle Body and Trailer Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336213,Motor Home Manufacturing,2022,3362,Motor Vehicle Body and Trailer Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336214,Travel Trailer and Camper Manufacturing,2022,3362,Motor Vehicle Body and Trailer Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336340,Motor Vehicle Brake System Manufacturing,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336360,Motor Vehicle Seating and Interior Trim Manufacturing,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336370,Motor Vehicle Metal Stamping,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,3.0,Automotive/Motor Vehicle Manufacturing,336390,Other Motor Vehicle Parts Manufacturing,2022,3363,Motor Vehicle Parts Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,325611,Soap and Other Detergent Manufacturing,2022,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",2
1,Manufacturing,4.0,Consumer Products Manufacturing,325612,Polish and Other Sanitation Good Manufacturing,2022,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",2
1,Manufacturing,4.0,Consumer Products Manufacturing,325613,Surface Active Agent Manufacturing,2022,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",2
1,Manufacturing,4.0,Consumer Products Manufacturing,325620,Toilet Preparation Manufacturing,2022,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",2
1,Manufacturing,4.0,Consumer Products Manufacturing,333991,Power-Driven Handtool Manufacturing,2022,3339,Other General Purpose Machinery Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,335131,Residential Electric Lighting Fixture Manufacturing,2022,3351,Electric Lighting Equipment Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",2022,3351,Electric Lighting Equipment Manufacturing,2
