year,statefips,metrofips,geo_area,code,category,data
2020,18,00000,Indiana,600,No SAT data,0
2020,18,00000,Indiana,601,SAT - < 800,47690
2020,18,00000,Indiana,602,SAT - 1000-1199,13349
2020,18,00000,Indiana,603,SAT - 1200-1600,7993
2020,18,00000,Indiana,604,SAT - 800-999,7294
2020,18,00000,Indiana,700,College Enrollments,40721
2020,18,00000,Indiana,800,Indiana Public College Enrollments,29238
2020,18,00000,Indiana,900,Area of Study - Arts and Humanities,3981
2020,18,00000,Indiana,901,Area of Study - Business and Communication,4580
2020,18,00000,Indiana,902,Area of Study - Education,1817
2020,18,00000,Indiana,903,Area of Study - Health,4814
2020,18,00000,Indiana,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",7164
2020,18,00000,Indiana,905,Area of Study - Social and Behavioral Sciences and Human Services,3260
2020,18,00000,Indiana,906,Area of Study - Trades,1791
2020,18,00000,Indiana,907,Area of Study - Undecided,1831
2020,18,00000,Indiana,908,Degree Level - Associate,6310
2020,18,00000,Indiana,909,Degree Level - Award of at least 1 but less than 2 academic years,978
2020,18,00000,Indiana,910,Degree Level - Award of less than 1 academic year,577
2020,18,00000,Indiana,911,Degree Level - Bachelor's,21222
2020,18,00000,Indiana,912,Degree Level - Unclassified undergraduate,151
2021,18,00000,Indiana,100,Total High School Graduates,73015
2021,18,00000,Indiana,101,Diploma Type - Core 40,38998
2021,18,00000,Indiana,102,Diploma Type - General,7559
2021,18,00000,Indiana,103,Diploma Type - Honors,26458
2021,18,00000,Indiana,200,No ACT data,65036
2021,18,00000,Indiana,201,ACT - < 15,544
2021,18,00000,Indiana,202,ACT - 15-19,1799
2021,18,00000,Indiana,203,ACT - 20-25,2978
2021,18,00000,Indiana,204,ACT - 26-36,2658
2021,18,00000,Indiana,300,Gender - Female,37009
2021,18,00000,Indiana,301,Gender - Male,36006
2021,18,00000,Indiana,302,Race/Ethnicity - Asian,2098
2021,18,00000,Indiana,303,Race/Ethnicity - Black,7653
2021,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,16790
2021,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,8395
2021,18,00000,Indiana,305,Race/Ethnicity - Other,3239
2021,18,00000,Indiana,306,Race/Ethnicity - White,51630
2021,18,00000,Indiana,400,Waiver Status - Graduated with Waiver,6642
2021,18,00000,Indiana,401,Waiver Status - Graduated without Waiver,66373
2021,18,00000,Indiana,500,Socioeconomic Status - Free or Reduced Lunch,24993
2021,18,00000,Indiana,501,Socioeconomic Status - Non Free or Reduced Lunch,48022
2021,18,00000,Indiana,600,No SAT data,48296
2021,18,00000,Indiana,601,SAT - < 800,988
2021,18,00000,Indiana,602,SAT - 1000-1199,10678
2021,18,00000,Indiana,603,SAT - 1200-1600,6905
2021,18,00000,Indiana,604,SAT - 800-999,6148
2021,18,00000,Indiana,700,College Enrollments,38590
2021,18,00000,Indiana,800,Indiana Public College Enrollments,27385
2021,18,00000,Indiana,900,Area of Study - Arts and Humanities,3473
2021,18,00000,Indiana,901,Area of Study - Business and Communication,4702
2021,18,00000,Indiana,902,Area of Study - Education,1691
2021,18,00000,Indiana,903,Area of Study - Health,4125
2021,18,00000,Indiana,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",6935
