year,NAICS,occ
2028,525110,53-6041
2027,524130,49-9064
2022,524126,47-4041
2020,522180,47-5049
2027,522310,11-1021
2027,524130,43-9051
2026,525120,51-4035
2028,521110,25-2059
2022,524210,19-3011
2021,524128,17-2141
2026,522220,25-2021
2024,523160,25-2058
2027,522110,11-9141
2019,524210,21-1012
2019,522310,41-4011
2022,524292,43-3051
2019,522299,37-2012
2028,522220,53-7051
2025,523910,47-4071
2020,522310,49-9092
2024,522320,47-2082
2027,525110,27-4099
2024,524113,13-1051
2021,523991,11-3111
2019,524292,41-9012
2027,524210,47-5044
2022,523150,19-2041
2026,523160,19-5011
2026,523999,27-1022
2028,523160,37-2011
2027,525910,27-1011
2027,524292,47-3012
2025,522390,49-9062
2020,522210,17-2021
2026,523160,47-3016
2028,524114,49-3093
2027,524298,25-9044
2022,523991,19-5011
2023,525990,39-9041
2021,523910,19-2041
2022,525110,25-3099
2026,525110,29-1151
2020,522310,43-5032
2024,524298,37-1011
2027,524291,47-5051
2025,524210,51-7041
2023,523150,11-3051
2027,523999,29-1141
2024,525990,15-1242
2023,525990,15-2031
2025,525990,19-1099
2019,523160,49-3091
2025,522390,53-2022
2026,523999,21-1029
2025,524114,35-2021
2021,525120,25-3041
2023,525120,53-6099
2019,523210,23-1012
2027,523210,33-9099
2025,522180,33-9094
2019,522390,43-4141
2023,524291,39-9041
2028,525910,19-2043
2021,524298,39-5094
2021,522220,13-1071
2028,523940,33-1091
2027,522110,25-3011
2027,522130,33-2011
2019,524113,47-5071
2027,524292,43-4161
2024,523999,29-2018
2024,523940,43-9041
2025,523210,33-2021
2020,524130,27-1012
2028,525120,49-9097
2021,524291,19-4051
2024,522320,49-2093
2019,523991,13-2028
2026,525990,53-3051
2022,522390,39-3019
2022,525190,29-1031
2025,525110,51-2098
2027,525910,51-2098
2022,525990,51-4022
2026,523210,43-6012
2027,522210,47-5032
2024,524113,39-4021
2026,523999,29-2099
2028,522220,49-9063
2026,525120,51-9196
2024,522299,45-2092
2025,523999,51-9051
2022,525990,43-3099
2026,525920,35-2021
2020,525190,17-2081
2022,522180,49-9092
2027,522210,17-2011
2026,523210,25-1099
2026,523210,35-9031
2019,523991,47-2061
2024,525110,11-1021
2027,525110,47-4061
2026,524127,25-2023
2027,522299,43-3041
2022,523150,39-5092
2020,523160,49-3021
2024,523210,49-3053
2020,525110,17-2011
2024,524291,27-3023
2024,525920,27-2012
2028,523210,51-3092
2021,524298,21-1015
2021,525110,39-9041
2022,524127,19-4099
2026,522292,11-3111
