year,statefips,metrofips,geo_area,cicp_initiative,jobs
2024,0,00000,United States,Advanced and Traded Industries,13686178.832920976
2024,0,00000,United States,AgriNovus,334836.886513671
2024,0,00000,United States,BioCrossroads,1671251.9705483208
2024,0,00000,United States,Conexus,5988881.4575139135
2024,0,00000,United States,Finance,1275424.6827620044
2024,0,00000,United States,Healthcare,444687.0254139555
2024,0,00000,United States,TechPoint,5557391.176331061
2024,00,14020,Bloomington MSA,Advanced and Traded Industries,6390.152733984163
2024,00,14020,Bloomington MSA,AgriNovus,145.62972176768437
2024,00,14020,Bloomington MSA,BioCrossroads,3820.5317065231097
2024,00,14020,Bloomington MSA,Conexus,5955.9677835056145
2024,00,14020,Bloomington MSA,Finance,298.7266305564929
2024,00,14020,Bloomington MSA,Healthcare,193.7823482943513
2024,00,14020,Bloomington MSA,TechPoint,992.6007848141829
2024,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,348026.3162571111
2024,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,8365.561977093237
2024,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,37772.772379007874
2024,00,16980,Chicago-Naperville-Elgin MSA,Conexus,160960.5086970004
2024,00,16980,Chicago-Naperville-Elgin MSA,Finance,42903.293067203056
2024,00,16980,Chicago-Naperville-Elgin MSA,Healthcare,13043.012243833464
2024,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,114635.34915136948
2024,00,17140,Cincinnati MSA,Advanced and Traded Industries,104897.7468315308
2024,00,17140,Cincinnati MSA,AgriNovus,2756.036740908813
2024,00,17140,Cincinnati MSA,BioCrossroads,9576.979551847195
2024,00,17140,Cincinnati MSA,Conexus,60511.90464595683
2024,00,17140,Cincinnati MSA,Finance,10378.878907929902
2024,00,17140,Cincinnati MSA,Healthcare,4049.3616984836654
2024,00,17140,Cincinnati MSA,TechPoint,24073.737795807174
2024,00,18020,Columbus MSA,Advanced and Traded Industries,9484.129269043795
2024,00,18020,Columbus MSA,AgriNovus,23.773522829115365
2024,00,18020,Columbus MSA,BioCrossroads,348.4586165010816
2024,00,18020,Columbus MSA,Conexus,11365.167471824909
2024,00,18020,Columbus MSA,Finance,178.43038653149767
2024,00,18020,Columbus MSA,Healthcare,10.599553125192239
2024,00,18020,Columbus MSA,TechPoint,784.4451974214239
2024,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,7843.825730952142
2024,00,21140,Elkhart-Goshen MSA,AgriNovus,105.95531210106635
2024,00,21140,Elkhart-Goshen MSA,BioCrossroads,276.2573799359757
2024,00,21140,Elkhart-Goshen MSA,Conexus,8606.476829840667
2024,00,21140,Elkhart-Goshen MSA,Finance,249.68200676824912
2024,00,21140,Elkhart-Goshen MSA,Healthcare,191.73012678269
2024,00,21140,Elkhart-Goshen MSA,TechPoint,720.7141338870806
2024,00,21780,Evansville MSA,Advanced and Traded Industries,7737.37315449069
2024,00,21780,Evansville MSA,AgriNovus,269.96491648415684
2024,00,21780,Evansville MSA,BioCrossroads,817.4286945075884
2024,00,21780,Evansville MSA,Conexus,4902.125593807845
2024,00,21780,Evansville MSA,Finance,464.457244165674
2024,00,21780,Evansville MSA,Healthcare,303.7852174033981
2024,00,21780,Evansville MSA,TechPoint,1573.583980362875
2024,00,23060,Fort Wayne MSA,Advanced and Traded Industries,15117.59981218678
2024,00,23060,Fort Wayne MSA,AgriNovus,312.8820122322896
2024,00,23060,Fort Wayne MSA,BioCrossroads,764.7937500283547
2024,00,23060,Fort Wayne MSA,Conexus,12077.782736434601
2024,00,23060,Fort Wayne MSA,Finance,1819.6725300261048
2024,00,23060,Fort Wayne MSA,Healthcare,894.6117831232567
2024,00,23060,Fort Wayne MSA,TechPoint,4142.288411342272
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,91893.62603355656
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,2140.942297853048
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,14454.56651812129
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,47825.22933263873
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,8882.106162911372
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,Healthcare,3764.720583699786
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,30008.997432025142
2024,00,29020,Kokomo MSA,Advanced and Traded Industries,1530.8141800590518
2024,00,29020,Kokomo MSA,AgriNovus,6.459636459223199
2024,00,29020,Kokomo MSA,BioCrossroads,36.85500649027163
2024,00,29020,Kokomo MSA,Conexus,1788.613092911351
2024,00,29020,Kokomo MSA,Finance,102.07507766528516
2024,00,29020,Kokomo MSA,Healthcare,31.64990268237878
2024,00,29020,Kokomo MSA,TechPoint,195.88534846952788
2024,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,7226.700447677263
2024,00,29200,Lafayette-West Lafayette MSA,AgriNovus,614.0455210986711
2024,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,1327.916430310902
2024,00,29200,Lafayette-West Lafayette MSA,Conexus,6486.536259747723
2024,00,29200,Lafayette-West Lafayette MSA,Finance,309.63486883378397
2024,00,29200,Lafayette-West Lafayette MSA,Healthcare,190.00054336021765
2024,00,29200,Lafayette-West Lafayette MSA,TechPoint,1243.19688930266
2024,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,44702.020639017726
2024,00,31140,Louisville/Jefferson County MSA,AgriNovus,1190.6315494421576
2024,00,31140,Louisville/Jefferson County MSA,BioCrossroads,2682.1169628513185
2024,00,31140,Louisville/Jefferson County MSA,Conexus,26147.165816305853
2024,00,31140,Louisville/Jefferson County MSA,Finance,6376.113878454175
2024,00,31140,Louisville/Jefferson County MSA,Healthcare,2009.0676057061316
2024,00,31140,Louisville/Jefferson County MSA,TechPoint,13262.770243257908
2024,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,1967.515182215087
2024,00,33140,Michigan City-La Porte MSA,AgriNovus,38.993487593945126
2024,00,33140,Michigan City-La Porte MSA,BioCrossroads,65.80690949485688
2024,00,33140,Michigan City-La Porte MSA,Conexus,2184.528354364135
2024,00,33140,Michigan City-La Porte MSA,Finance,135.23479209822509
2024,00,33140,Michigan City-La Porte MSA,Healthcare,69.19771686779815
2024,00,33140,Michigan City-La Porte MSA,TechPoint,265.98074624578555
2024,00,34620,Muncie MSA,Advanced and Traded Industries,2137.5532375190414
2024,00,34620,Muncie MSA,AgriNovus,11.55142884969876
2024,00,34620,Muncie MSA,BioCrossroads,61.11822289042602
2024,00,34620,Muncie MSA,Conexus,980.2173335163548
2024,00,34620,Muncie MSA,Finance,241.12183243483955
2024,00,34620,Muncie MSA,Healthcare,106.01717535780271
2024,00,34620,Muncie MSA,TechPoint,928.7755899751976
2024,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,7008.081254322839
2024,00,43780,South Bend-Mishawaka MSA,AgriNovus,34.823911293071376
2024,00,43780,South Bend-Mishawaka MSA,BioCrossroads,509.47511282436756
2024,00,43780,South Bend-Mishawaka MSA,Conexus,4573.192023154277
2024,00,43780,South Bend-Mishawaka MSA,Finance,460.61683593582984
2024,00,43780,South Bend-Mishawaka MSA,Healthcare,295.64378781741493
2024,00,43780,South Bend-Mishawaka MSA,TechPoint,1990.0020974869033
2024,00,45460,Terre Haute MSA,Advanced and Traded Industries,2131.5472618167037
2024,00,45460,Terre Haute MSA,AgriNovus,67.4037338533134
2024,00,45460,Terre Haute MSA,BioCrossroads,175.42977075518272
2024,00,45460,Terre Haute MSA,Conexus,2117.2156245367364
2024,00,45460,Terre Haute MSA,Finance,195.55696886656935
2024,00,45460,Terre Haute MSA,Healthcare,127.05530271779041
2024,00,45460,Terre Haute MSA,TechPoint,355.78515699735675
2024,18,00000,Indiana,Advanced and Traded Industries,228974.72962185426
2024,18,00000,Indiana,AgriNovus,6701.151015959594
2024,18,00000,Indiana,BioCrossroads,29636.157929351302
2024,18,00000,Indiana,Conexus,159583.77637698431
2024,18,00000,Indiana,Finance,18380.654577870577
2024,18,00000,Indiana,Healthcare,7921.463954654158
2024,18,00000,Indiana,TechPoint,61117.50353877502
2025,0,00000,United States,Advanced and Traded Industries,14061005.873480521
2025,0,00000,United States,AgriNovus,342288.4314690295
2025,0,00000,United States,BioCrossroads,1726849.539622466
2025,0,00000,United States,Conexus,6094465.676905101
2025,0,00000,United States,Finance,1304361.9535373352
2025,0,00000,United States,Healthcare,454158.9414076117
2025,0,00000,United States,TechPoint,5744075.761855746
2025,00,14020,Bloomington MSA,Advanced and Traded Industries,6629.756987996296
2025,00,14020,Bloomington MSA,AgriNovus,151.49107223784236
2025,00,14020,Bloomington MSA,BioCrossroads,3957.3690346995577
2025,00,14020,Bloomington MSA,Conexus,6178.903172883276
2025,00,14020,Bloomington MSA,Finance,307.33540300991586
2025,00,14020,Bloomington MSA,Healthcare,200.56647437035394
