year,statefips,metrofips,geo_area,cicp_initiative,occ,occ_title,jobs
2019,0,00000,United States,AgriNovus,15-1252,Software Developers,6486.898640054835
2019,0,00000,United States,AgriNovus,15-1253,Software Quality Assurance Analysts and Testers,716.1297865402797
2019,0,00000,United States,AgriNovus,15-1254,Web Developers,587.3962598107995
2019,0,00000,United States,AgriNovus,15-1255,Web and Digital Interface Designers,364.187331911544
2019,0,00000,United States,AgriNovus,15-1299,"Computer Occupations, All Other",6269.9331449095735
2019,0,00000,United States,AgriNovus,15-2011,Actuaries,0.0
2019,0,00000,United States,AgriNovus,15-2021,Mathematicians,0.0
2019,0,00000,United States,AgriNovus,15-2031,Operations Research Analysts,1214.8286245866148
2019,0,00000,United States,AgriNovus,15-2041,Statisticians,135.539060832873
2019,0,00000,United States,AgriNovus,15-2051,Data Scientists,842.9935230606089
2019,0,00000,United States,AgriNovus,15-2099,"Mathematical Science Occupations, All Other",0.0
2019,0,00000,United States,AgriNovus,17-1011,"Architects, Except Landscape and Naval",60.670396878
2019,0,00000,United States,AgriNovus,17-1012,Landscape Architects,0.0
2019,0,00000,United States,AgriNovus,17-1021,Cartographers and Photogrammetrists,0.0
2019,0,00000,United States,AgriNovus,17-1022,Surveyors,105.52782294899998
2019,0,00000,United States,AgriNovus,17-2011,Aerospace Engineers,22.615696758380995
2019,0,00000,United States,AgriNovus,17-2021,Agricultural Engineers,256.45114335249
2019,0,00000,United States,AgriNovus,17-2031,Bioengineers and Biomedical Engineers,257.31067516525377
2019,0,00000,United States,AgriNovus,17-2041,Chemical Engineers,4198.782626578332
2019,0,00000,United States,AgriNovus,17-2051,Civil Engineers,316.5903086105477
2019,0,00000,United States,AgriNovus,17-2061,Computer Hardware Engineers,256.0671312244791
2019,0,00000,United States,AgriNovus,17-2071,Electrical Engineers,2871.751446263463
2019,0,00000,United States,AgriNovus,17-2072,"Electronics Engineers, Except Computer",439.13839399896005
2019,0,00000,United States,AgriNovus,17-2081,Environmental Engineers,609.4456844359006
2019,0,00000,United States,AgriNovus,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2121.4170391757316
2019,0,00000,United States,AgriNovus,17-2112,Industrial Engineers,32251.714227615565
2019,0,00000,United States,AgriNovus,17-2121,Marine Engineers and Naval Architects,0.0
2019,0,00000,United States,AgriNovus,17-2131,Materials Engineers,695.4351937790526
2019,0,00000,United States,AgriNovus,17-2141,Mechanical Engineers,16299.223650909435
2019,0,00000,United States,AgriNovus,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0.0
2019,0,00000,United States,AgriNovus,17-2161,Nuclear Engineers,47.536820693790006
2019,0,00000,United States,AgriNovus,17-2171,Petroleum Engineers,311.69292761148597
2019,0,00000,United States,AgriNovus,17-2199,"Engineers, All Other",3548.4812666410076
2019,0,00000,United States,AgriNovus,17-3011,Architectural and Civil Drafters,39.73074864267001
2019,0,00000,United States,AgriNovus,17-3012,Electrical and Electronics Drafters,294.75909971380577
2019,0,00000,United States,AgriNovus,17-3013,Mechanical Drafters,2455.899693371449
2019,0,00000,United States,AgriNovus,17-3019,"Drafters, All Other",228.24484908735303
