statefips,countyfips,metrofips,cnty_name,year,code,data
18,000,26900,Metro Total,2019,301,12408
18,000,26900,Metro Total,2019,302,995
18,000,26900,Metro Total,2019,303,4299
18,000,26900,Metro Total,2019,304,2538
18,000,26900,Metro Total,2019,304,2538
18,000,26900,Metro Total,2019,305,1078
18,000,26900,Metro Total,2019,306,16443
18,000,26900,Metro Total,2019,400,3181
18,000,26900,Metro Total,2019,401,22172
18,000,26900,Metro Total,2019,500,8935
18,000,26900,Metro Total,2019,501,16418
18,000,26900,Metro Total,2019,600,16563
18,000,26900,Metro Total,2019,601,413
18,000,26900,Metro Total,2019,602,3853
18,000,26900,Metro Total,2019,603,1907
18,000,26900,Metro Total,2019,604,2617
18,000,26900,Metro Total,2019,700,15294
18,000,26900,Metro Total,2019,800,10823
18,000,26900,Metro Total,2019,900,1523
18,000,26900,Metro Total,2019,901,1927
18,000,26900,Metro Total,2019,902,623
18,000,26900,Metro Total,2019,903,1567
18,000,26900,Metro Total,2019,904,2669
18,000,26900,Metro Total,2019,905,1223
18,000,26900,Metro Total,2019,906,618
18,000,26900,Metro Total,2019,907,673
18,000,26900,Metro Total,2019,908,2518
18,000,26900,Metro Total,2019,909,316
18,000,26900,Metro Total,2019,910,69
18,000,26900,Metro Total,2019,911,7895
18,000,26900,Metro Total,2019,912,25
18,000,26900,Metro Total,2020,100,25586
18,000,26900,Metro Total,2020,101,13821
18,000,26900,Metro Total,2020,102,1952
18,000,26900,Metro Total,2020,103,9813
18,000,26900,Metro Total,2020,200,0
18,000,26900,Metro Total,2020,201,20255
18,000,26900,Metro Total,2020,202,1426
18,000,26900,Metro Total,2020,203,2077
18,000,26900,Metro Total,2020,204,1828
18,000,26900,Metro Total,2020,300,13143
18,000,26900,Metro Total,2020,301,12443
18,000,26900,Metro Total,2020,302,1075
18,000,26900,Metro Total,2020,303,4435
18,000,26900,Metro Total,2020,304,2832
18,000,26900,Metro Total,2020,304,2832
18,000,26900,Metro Total,2020,305,1229
18,000,26900,Metro Total,2020,306,16015
18,000,26900,Metro Total,2020,400,45
18,000,26900,Metro Total,2020,401,25541
18,000,26900,Metro Total,2020,500,9189
18,000,26900,Metro Total,2020,501,16397
18,000,26900,Metro Total,2020,600,0
18,000,26900,Metro Total,2020,601,16034
18,000,26900,Metro Total,2020,602,4273
18,000,26900,Metro Total,2020,603,3199
18,000,26900,Metro Total,2020,604,2080
18,000,26900,Metro Total,2020,700,14286
18,000,26900,Metro Total,2020,800,10036
18,000,26900,Metro Total,2020,900,1267
18,000,26900,Metro Total,2020,901,1776
18,000,26900,Metro Total,2020,902,592
18,000,26900,Metro Total,2020,903,1415
18,000,26900,Metro Total,2020,904,2626
18,000,26900,Metro Total,2020,905,1142
18,000,26900,Metro Total,2020,906,569
18,000,26900,Metro Total,2020,907,649
18,000,26900,Metro Total,2020,908,1990
18,000,26900,Metro Total,2020,909,262
18,000,26900,Metro Total,2020,910,168
18,000,26900,Metro Total,2020,911,7604
18,000,26900,Metro Total,2020,912,12
18,000,26900,Metro Total,2021,100,24850
18,000,26900,Metro Total,2021,101,13105
18,000,26900,Metro Total,2021,102,2196
18,000,26900,Metro Total,2021,103,9549
18,000,26900,Metro Total,2021,200,21972
