cicp_initiative,geo_area,total_jobs,tech_jobs,nontech_jobs,tech_pct
Conexus - Logistics,Bloomington MSA,7979.149808274255,0,7979.149808274255,0
Conexus - Logistics,Chicago-Naperville-Elgin MSA,864557.0891653529,0,864557.0891653529,0
Conexus - Logistics,Cincinnati MSA,229822.38475813784,0,229822.38475813784,0
Conexus - Logistics,Columbus MSA,13452.530333683908,0,13452.530333683908,0
Conexus - Logistics,Elkhart-Goshen MSA,32193.844455649294,0,32193.844455649294,0
Conexus - Logistics,Evansville MSA,28302.09248207378,0,28302.09248207378,0
Conexus - Logistics,Fort Wayne MSA,48697.18175395407,0,48697.18175395407,0
Conexus - Logistics,Indiana,754704.2812001369,0,754704.2812001369,0
Conexus - Logistics,Indianapolis-Carmel-Greenwood MSA,291406.33235201053,0,291406.33235201053,0
Conexus - Logistics,Kokomo MSA,5344.780734487219,0,5344.780734487219,0
