msa,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
23844,Other,1,Qualified New - 1-20 or fewer Employees at start,3785,15044.583333333334,592453169,39375.94274794361
23844,Other,2,Qualified - 21-50 Employees at start,177,5095.083333333333,155950748,30608.085834382822
23844,Other,3,Qualified - 51-100 Employees at start,48,2405.5833333333335,86994110,36163.41566494613
23844,Other,4,Qualified - 101+ Employees at start,12,1053.5833333333333,34286240,32542.504152495454
23844,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,279,420,36304798,86439.99523809523
23844,Total,1,Qualified New - 1-20 or fewer Employees at start,5845,21103.583333333332,988426313,46832.372653933184
23844,Total,2,Qualified - 21-50 Employees at start,201,6346.333333333333,230876344,36379.48589736856
23844,Total,3,Qualified - 51-100 Employees at start,57,2817.3333333333335,108395685,38474.56874112636
23844,Total,4,Qualified - 101+ Employees at start,21,1816.6666666666667,67661092,37244.63779816514
26900,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,8043,25260.333333333332,2002037934,79252.74506802497
26900,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,131,4722.5,308050612,65230.41016410799
26900,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,33,2364.4166666666665,119760516,50651.189229196774
26900,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,9,763.0833333333334,32240629,42250.469367696845
26900,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,369,2080.6666666666665,92408835,44411.15123357898
26900,AgriNovus,2,Qualified - 21-50 Employees at start,18,781.25,43119992,55193.58976000001
26900,AgriNovus,3,Qualified - 51-100 Employees at start,2,319.9166666666667,11240659,35136.20942953894
26900,AgriNovus,4,Qualified - 101+ Employees at start,2,246.25,4706705,19113.522842639595
26900,BioX,1,Qualified New - 1-20 or fewer Employees at start,476,1182.4166666666667,154763676,130885.83268729296
26900,BioX,2,Qualified - 21-50 Employees at start,4,75.41666666666666,3700630,49069.12707182321
26900,BioX,3,Qualified - 51-100 Employees at start,1,84.08333333333333,16315901,194044.41228939546
26900,Conexus,1,Qualified New - 1-20 or fewer Employees at start,1558,8112.666666666667,457493069,56390.273235269946
26900,Conexus,2,Qualified - 21-50 Employees at start,71,2980.3333333333335,164240350,55108.047198299966
26900,Conexus,3,Qualified - 51-100 Employees at start,25,1834.3333333333333,82511560,44981.769943667096
26900,Conexus,4,Qualified - 101+ Employees at start,6,594.75,19731212,33175.64018495166
26900,Other,1,Qualified New - 1-20 or fewer Employees at start,13773,58528.583333333336,2590562142,44257.45023158201
26900,Other,2,Qualified - 21-50 Employees at start,571,17230.916666666668,622423449,36122.480367169475
26900,Other,3,Qualified - 51-100 Employees at start,153,8040.083333333333,277923577,34567.199054736164
26900,Other,4,Qualified - 101+ Employees at start,45,7405.416666666667,256584271,34648.188285601755
26900,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,1683,4459.5,477714378,107111.57416750757
26900,TechPoint,2,Qualified - 21-50 Employees at start,15,355.5833333333333,35625033,100187.57815795642
26900,TechPoint,3,Qualified - 51-100 Employees at start,2,54.75,4437292,81046.42922374429
26900,TechPoint,4,Qualified - 101+ Employees at start,1,136.33333333333334,11009611,80755.09290953545
26900,Total,1,Qualified New - 1-20 or fewer Employees at start,22102,84689.83333333333,4656910820,54983.84634519295
26900,Total,2,Qualified - 21-50 Employees at start,709,22086.416666666668,940749641,42594.03665148639
26900,Total,3,Qualified - 51-100 Employees at start,186,10404.5,397684093,38222.27661108175
26900,Total,4,Qualified - 101+ Employees at start,54,8168.5,288824900,35358.37669094693
29020,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,118,289.1666666666667,18318467,63240.77463976945
29020,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,1,11.166666666666666,501110,44875.522388059704
29020,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,23,69.5,2818978,40560.8345323741
29020,BioX,1,Qualified New - 1-20 or fewer Employees at start,5,4.916666666666667,39888,8112.813559322033
29020,Conexus,1,Qualified New - 1-20 or fewer Employees at start,33,76.58333333333333,4121443,53653.723612622416
29020,Conexus,2,Qualified - 21-50 Employees at start,1,11.166666666666666,501110,44875.522388059704
29020,Other,1,Qualified New - 1-20 or fewer Employees at start,357,1620.8333333333333,51489986,31767.60061696658
29020,Other,2,Qualified - 21-50 Employees at start,13,275.1666666666667,5465028,19860.792247122954
29020,Other,3,Qualified - 51-100 Employees at start,3,85.25,2467283,28941.73607038123
29020,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,22,40.25,3679146,91407.35403726708
29020,Total,1,Qualified New - 1-20 or fewer Employees at start,488,1942.1666666666667,71256162,36672.86655796791
29020,Total,2,Qualified - 21-50 Employees at start,14,286.3333333333333,5966138,20836.337601862633
29020,Total,3,Qualified - 51-100 Employees at start,3,85.25,2467283,28941.73607038123
29200,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,562,1578.3333333333333,109583130,69419.42851108765
29200,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,5,229.16666666666669,16362918,71401.824
29200,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,3,170.25,7107017,41744.5932452276
29200,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,60,214.33333333333334,7637294,35564.10886469673
29200,AgriNovus,2,Qualified - 21-50 Employees at start,1,4.583333333333333,65229,14231.781818181818
29200,AgriNovus,3,Qualified - 51-100 Employees at start,1,51.166666666666664,514330,10052.052117263844
29200,BioX,1,Qualified New - 1-20 or fewer Employees at start,65,293.1666666666667,26789136,91378.5196134167
29200,Conexus,1,Qualified New - 1-20 or fewer Employees at start,132,616.9166666666666,38390126,62227.659057139004
29200,Conexus,2,Qualified - 21-50 Employees at start,4,228.83333333333334,16343457,71420.788055353245
29200,Conexus,3,Qualified - 51-100 Employees at start,3,170.25,7107017,41744.5932452276
29200,Other,1,Qualified New - 1-20 or fewer Employees at start,1024,3845.25,134943069,35090.17931213835
29200,Other,2,Qualified - 21-50 Employees at start,51,1081.5833333333333,28933959,26751.48378149318
29200,Other,3,Qualified - 51-100 Employees at start,8,413.1666666666667,9077341,21970.167809600644
29200,Other,4,Qualified - 101+ Employees at start,2,1356.3333333333333,37957668,27985.501105922835
29200,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,134,315.3333333333333,26296917,83394.02854122622
29200,TechPoint,2,Qualified - 21-50 Employees at start,1,88.16666666666667,7062529,80104.29867674857
29200,Total,1,Qualified New - 1-20 or fewer Employees at start,1634,5546.666666666667,249833421,45034.256971153845
29200,Total,2,Qualified - 21-50 Employees at start,56,1310.75,45296877,34557.98359717719
29200,Total,3,Qualified - 51-100 Employees at start,11,583.4166666666666,16184358,27740.65076417655
29200,Total,4,Qualified - 101+ Employees at start,2,1356.3333333333333,37957668,27985.501105922835
31140,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,759,2200.0833333333335,139257939,63284.68330745047
31140,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,14,551.75,33848352,61347.26234707748
31140,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,3,464.25,28384011,61139.49596122779
31140,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,3,539.4166666666666,22791037,42251.26587362892
31140,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,54,210.5,13041203,61949.45368171021
31140,AgriNovus,2,Qualified - 21-50 Employees at start,1,29.25,480903,16441.128205128207
31140,AgriNovus,3,Qualified - 51-100 Employees at start,2,406.3333333333333,24631271,60618.38638228056
31140,AgriNovus,4,Qualified - 101+ Employees at start,1,183.66666666666666,7824971,42604.19782214156
31140,BioX,1,Qualified New - 1-20 or fewer Employees at start,32,88.08333333333333,8149254,92517.54777672658
31140,Conexus,1,Qualified New - 1-20 or fewer Employees at start,204,879.8333333333334,44366709,50417.61129001705
31140,Conexus,2,Qualified - 21-50 Employees at start,8,337.0833333333333,15831679,46966.66205191595
