sector_id,sector_name,statefips,countyfips,metrofips,geo_area,year,own,disc,naics_code,naics_title,repunits,empl,wages
3,Advanced and Traded Services,00,000,21140,Elkhart-Goshen,2022,0,0,8112,Electronic and Precision Equipment Repair and Maintenance,9.0,28.25,1432693.0
1,Manufacturing,00,000,21140,Elkhart-Goshen,2022,0,0,3329,Other Fabricated Metal Product Manufacturing,19.0,1737.41,108005505.0
1,Manufacturing,00,000,17140,Cincinnati,2021,0,1,3344,Semiconductor and Other Electronic Component Manufacturing,1.0,0.0,0.0
2,Logistics,00,000,31140,Louisville/Jefferson County,2019,0,1,5416,"Management, Scientific, and Technical Consulting Services",10.0,0.0,0.0
1,Manufacturing,00,000,21780,Evansville,2023,0,0,3219,Other Wood Product Manufacturing,8.0,46.91,2781244.0
3,Advanced and Traded Services,00,000,21780,Evansville,2020,0,0,5222,Nondepository Credit Intermediation,16.0,42.91,2911941.0
2,Logistics,00,000,31140,Louisville/Jefferson County,2022,0,0,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",77.0,344.23,26085902.0
1,Manufacturing,00,000,45460,Terre Haute,2020,0,1,3273,Cement and Concrete Product Manufacturing,4.0,0.0,0.0
2,Logistics,00,000,26900,Indianapolis-Carmel-Greenwood,2022,0,0,4841,General Freight Trucking,989.0,12382.28,839369894.0
1,Manufacturing,00,000,21780,Evansville,2019,0,0,3335,Metalworking Machinery Manufacturing,17.0,121.24,7217193.0
1,Manufacturing,00,000,43780,South Bend-Mishawaka,2022,0,1,3344,Semiconductor and Other Electronic Component Manufacturing,7.0,0.0,0.0
1,Manufacturing,00,000,14020,Bloomington,2023,0,0,3231,Printing and Related Support Activities,9.0,45.66,1785464.0
1,Manufacturing,00,000,21140,Elkhart-Goshen,2019,0,1,3119,Other Food Manufacturing,1.0,0.0,0.0
2,Logistics,00,000,29200,Lafayette-West Lafayette,2020,0,0,4842,Specialized Freight Trucking,46.0,228.07,12356768.0
1,Manufacturing,00,000,45460,Terre Haute,2021,0,0,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",19.0,67.91,2863198.0
1,Manufacturing,00,000,43780,South Bend-Mishawaka,2020,0,1,3372,Office Furniture (including Fixtures) Manufacturing,4.0,0.0,0.0
1,Manufacturing,00,000,33140,Michigan City-La Porte,2021,0,1,3399,Other Miscellaneous Manufacturing,3.0,0.0,0.0
1,Manufacturing,00,000,33140,Michigan City-La Porte,2022,0,1,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",1.0,0.0,0.0
1,Manufacturing,00,000,21140,Elkhart-Goshen,2022,0,1,3272,Glass and Glass Product Manufacturing,7.0,0.0,0.0
1,Manufacturing,00,000,33140,Michigan City-La Porte,2019,0,1,3372,Office Furniture (including Fixtures) Manufacturing,1.0,0.0,0.0
1,Manufacturing,00,000,21780,Evansville,2020,0,1,3222,Converted Paper Product Manufacturing,3.0,0.0,0.0
1,Manufacturing,00,000,31140,Louisville/Jefferson County,2021,0,1,3359,Other Electrical Equipment and Component Manufacturing,1.0,0.0,0.0
1,Manufacturing,00,000,31140,Louisville/Jefferson County,2023,0,1,3262,Rubber Product Manufacturing,4.0,0.0,0.0
3,Advanced and Traded Services,00,000,26900,Indianapolis-Carmel-Greenwood,2023,0,0,5222,Nondepository Credit Intermediation,271.0,2905.53,296542029.0
3,Advanced and Traded Services,00,000,14020,Bloomington,2020,0,1,5174,Satellite Telecommunications,1.0,0.0,0.0
1,Manufacturing,00,000,45460,Terre Haute,2022,0,1,3255,"Paint, Coating, and Adhesive Manufacturing",2.0,0.0,0.0
1,Manufacturing,00,000,43780,South Bend-Mishawaka,2022,0,1,3271,Clay Product and Refractory Manufacturing,2.0,0.0,0.0
2,Logistics,00,000,43780,South Bend-Mishawaka,2019,0,1,4245,Farm Product Raw Material Merchant Wholesalers,4.0,0.0,0.0
2,Logistics,00,000,26900,Indianapolis-Carmel-Greenwood,2023,0,0,4921,Couriers and Express Delivery Services,122.0,10551.91,590303387.0
1,Manufacturing,00,000,33140,Michigan City-La Porte,2021,0,1,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",1.0,0.0,0.0
2,Logistics,00,000,43780,South Bend-Mishawaka,2022,0,0,4246,Chemical and Allied Products Merchant Wholesalers,18.0,189.91,14064965.0
2,Logistics,00,000,43780,South Bend-Mishawaka,2020,0,0,4841,General Freight Trucking,75.0,1277.99,71311731.0
1,Manufacturing,00,000,23060,Fort Wayne,2022,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",12.0,609.16,41075880.0
2,Logistics,00,000,33140,Michigan City-La Porte,2021,0,0,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",29.0,136.24,10551327.0
2,Logistics,00,000,31140,Louisville/Jefferson County,2021,0,0,4244,Grocery and Related Product Merchant Wholesalers,15.0,45.16,2894360.0
1,Manufacturing,00,000,18020,Columbus,2022,0,1,3399,Other Miscellaneous Manufacturing,3.0,0.0,0.0
2,Logistics,00,000,26900,Indianapolis-Carmel-Greenwood,2022,0,0,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",594.0,6703.09,613439137.0
1,Manufacturing,00,000,18020,Columbus,2022,0,1,3322,Cutlery and Handtool Manufacturing,2.0,0.0,0.0
1,Manufacturing,00,000,21140,Elkhart-Goshen,2021,0,0,3391,Medical Equipment and Supplies Manufacturing,8.0,61.66,4280936.0
2,Logistics,00,000,29020,Kokomo,2019,0,1,4246,Chemical and Allied Products Merchant Wholesalers,1.0,0.0,0.0
1,Manufacturing,00,000,14020,Bloomington,2019,0,1,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",7.0,0.0,0.0
1,Manufacturing,00,000,14020,Bloomington,2020,0,1,3335,Metalworking Machinery Manufacturing,1.0,0.0,0.0
1,Manufacturing,00,000,31140,Louisville/Jefferson County,2021,0,0,3391,Medical Equipment and Supplies Manufacturing,9.0,49.16,2226434.0
2,Logistics,00,000,21140,Elkhart-Goshen,2023,0,1,4921,Couriers and Express Delivery Services,1.0,0.0,0.0
1,Manufacturing,00,000,33140,Michigan City-La Porte,2023,0,1,3341,Computer and Peripheral Equipment Manufacturing,1.0,0.0,0.0
1,Manufacturing,00,000,45460,Terre Haute,2022,0,1,3222,Converted Paper Product Manufacturing,2.0,0.0,0.0
