sector_id,sector_name,statefips,countyfips,metrofips,geo_area,year,own,disc,naics,naics_title,repunits,empl,wages
1,IT/Tech Services,0 ,000,00000,United States,2020,0,0,541512,  Computer systems design services,140606.0,1042451.83,127422664294.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,0,541513,  Computer facilities management services,5064.0,78390.58,9160475496.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,0,611420,  Computer training,3070.0,19000.08,1622448150.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,1,423430,  Computer and software merchant wholesalers,14830.0,225847.16,33915769885.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,1,541511,  Custom computer programming services,135448.0,976108.66,138007265067.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,1,541519,  Other computer related services,19441.0,116640.75,14722160010.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,1,811211,  Consumer electronics repair and maintenance,2256.0,13624.16,620462812.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,1,811212,  Computer and office machine repair,6685.0,37304.08,2306949436.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,1,811213,  Communication equipment repair,1966.0,14697.91,899066181.0
1,IT/Tech Services,0 ,000,00000,United States,2020,0,1,811219,  Other electronic equipment repair,5617.0,36461.33,2883123638.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,0,541511,  Custom computer programming services,154285.0,1026640.33,160843050860.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,0,541512,  Computer systems design services,151426.0,1085358.5,144833270422.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,0,541513,  Computer facilities management services,5513.0,80083.58,10028616303.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,0,541519,  Other computer related services,22888.0,126357.25,17890100940.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,0,611420,  Computer training,3429.0,21017.08,1955041336.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,1,423430,  Computer and software merchant wholesalers,16038.0,218848.75,35971562516.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,1,811211,  Consumer electronics repair and maintenance,2303.0,14348.33,714703419.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,1,811212,  Computer and office machine repair,6609.0,37739.83,2489601817.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,1,811213,  Communication equipment repair,1960.0,14908.33,913148135.0
1,IT/Tech Services,0 ,000,00000,United States,2021,0,1,811219,  Other electronic equipment repair,5706.0,37904.66,3095917530.0
1,IT/Tech Services,0 ,000,00000,United States,2022,0,0,541512,Computer Systems Design Services ,166344.0,1148953.58,152297236826.0
