display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,asian,black,hawaiian,hispanic,white,aian,diversity,two_or_more
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4239,Miscellaneous Durable Goods Merchant Wholesalers,3,3,23124.07669593,23637.69043388,525.99041224,51588.50344472,191702.29928500002,1107.869216244,1.839141327127,3892.347792716
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4241,Paper and Paper Product Merchant Wholesalers,3,3,6103.615261924,11314.92847014,167.52232152679,18953.70337413,78626.18835942,265.5666698673,0.963326390115,1461.898136282
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4242,Drugs and Druggists' Sundries Merchant Wholesalers,3,3,26935.9669022,21981.3111945,321.737876698,34241.6465233,156099.418472,565.830656634,0.36133137898,4267.87877289
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",3,3,21357.816854,14004.68322003,229.6542218012,30097.785516,68239.1282838,307.8097237587,1.470426161037,1924.494939626
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4244,Grocery and Related Product Merchant Wholesalers,3,3,45024.11460761801,99904.59901269,2014.9160315061,180925.34794401994,410921.85997530003,2830.7374493647,4.129796208279,10357.173783879998
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4245,Farm Product Raw Material Merchant Wholesalers,3,3,814.1452073181,3015.385191284,18.6967194837,6030.79695506,56965.6891969,416.7351078347,0.603382281605,592.8991019919999
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4246,Chemical and Allied Products Merchant Wholesalers,3,3,7542.28809879,11567.860953270001,197.3945404359,20669.74068961,102270.3213116,481.6561185227,0.5918422231780001,1844.44643396
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4247,Petroleum and Petroleum Products Merchant Wholesalers,3,3,2767.316984775,7108.51472992,201.2485696491,12455.939174340001,72661.6298036,604.400762353,0.493636286496,1232.885536059
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",3,3,4889.07932643,20653.78344,441.39215077200004,33228.6298327,137199.2187855,710.751341792,0.631446612373,2948.6931636
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2021,4249,Miscellaneous Nondurable Goods Merchant Wholesalers,3,3,16657.06884443,16787.6089208,404.58930409899995,50082.03309379,202041.6206212,865.5203566549999,1.644281842686,3419.378966921
